Tweet,preprocessed,tokenizing,polarity_score,polarity
@lrtjabodebek Min tolong eskalator di dukuh atas dibenerin 😁😅,min tolong eskalator dukuh benar tawatawa canggung,"['min', 'tolong', 'eskalator', 'dukuh', 'benar', 'tawatawa', 'canggung']",-8,negative
Atap Stasiun LRT Jabodebek Jebol Ternyata Belum Pernah Diuji https://t.co/i2weugTMC0,atap stasiun light rail transit jabodebek jebol uji,"['atap', 'stasiun', 'light', 'rail', 'transit', 'jabodebek', 'jebol', 'uji']",1,positive
Kenaikan volume penumpang KRL Commuter Line terasa di Stasiun Sudirman serta Stasiun Cawang yang terintegrasi dengan stasiun LRT Jabodebek https://t.co/rtKgOA0pz9,naik volume tumpang kereta listrik commuter line stasiun sudirman stasiun cawang integrasi stasiun light rail transit jabodebek,"['naik', 'volume', 'tumpang', 'kereta', 'listrik', 'commuter', 'line', 'stasiun', 'sudirman', 'stasiun', 'cawang', 'integrasi', 'stasiun', 'light', 'rail', 'transit', 'jabodebek']",0,neutral
Atap Stasiun LRT Jabodebek Bocor Wamen BUMN: Itu Biasa https://t.co/9NdP49ySNz,atap stasiun light rail transit jabodebek bocor wamen badan usaha milik negara,"['atap', 'stasiun', 'light', 'rail', 'transit', 'jabodebek', 'bocor', 'wamen', 'badan', 'usaha', 'milik', 'negara']",-9,negative
@Marshalll_D @kerendi_ @jalur5_ @lrtjabodebek Wkwkwk,wkwk,['wkwk'],0,neutral
LRT Jabodebek Beroperasi Penuh Stasiun KRL Diserbu Penumpang https://t.co/hkoDajQb4T,light rail transit jabodebek operasi penuh stasiun kereta listrik serbu tumpang,"['light', 'rail', 'transit', 'jabodebek', 'operasi', 'penuh', 'stasiun', 'kereta', 'listrik', 'serbu', 'tumpang']",-3,negative
@KeretaCepatID @DamriIndonesia @KAI121 More videos from business class @KeretaCepatID  Kedatangan di Padalarang yg disambut keramaian pax (bandingin vs Tegalluar rame mana..) akselerasi lewat tunnel bersisian trek dengan tol Japek &amp  MBZ (ga guna lau mobil kebut2-an vs Whoosh 😛) dan ketemu LRT Jabodebek di Bekasi https://t.co/HH85Wa8cK2,more videos from business class datang padalarang yang sambut ramai pax banding lawan tegalluar ramai akselerasi tunnel sisi trek tol japek amp mbz tidak kau mobil kebut an lawan whoosh ejek julur lidah ketemu light rail transit jabodebek bekas,"['more', 'videos', 'from', 'business', 'class', 'datang', 'padalarang', 'yang', 'sambut', 'ramai', 'pax', 'banding', 'lawan', 'tegalluar', 'ramai', 'akselerasi', 'tunnel', 'sisi', 'trek', 'tol', 'japek', 'amp', 'mbz', 'tidak', 'kau', 'mobil', 'kebut', 'an', 'lawan', 'whoosh', 'ejek', 'julur', 'lidah', 'ketemu', 'light', 'rail', 'transit', 'jabodebek', 'bekas']",-25,negative
LRT Jabodebek Beroperasi Penuh Stasiun KRL Diserbu Penumpang https://t.co/0H69G8BCUU,light rail transit jabodebek operasi penuh stasiun kereta listrik serbu tumpang,"['light', 'rail', 'transit', 'jabodebek', 'operasi', 'penuh', 'stasiun', 'kereta', 'listrik', 'serbu', 'tumpang']",-3,negative
@lrtjabodebek min mohon info dong dari Stasiun Ciracas menuju Stasiun Halim bagaimana rute nya ya?,min mohon info stasiun ciracas stasiun halim rute nya ya,"['min', 'mohon', 'info', 'stasiun', 'ciracas', 'stasiun', 'halim', 'rute', 'nya', 'ya']",-5,negative
Penumpang KRL disebut melonjak sejak terintegrasi dengan LRT Jabodebek. #bisnisupdate #update #bisnis #text https://t.co/HW4d5fokTd,tumpang kereta listrik lonjak integrasi light rail transit jabodebek bisnisupdate baru bisnis text,"['tumpang', 'kereta', 'listrik', 'lonjak', 'integrasi', 'light', 'rail', 'transit', 'jabodebek', 'bisnisupdate', 'baru', 'bisnis', 'text']",2,positive
@mifthaaul Untuk rute tersebut merupakan area pelayanan dari LRT Jabodebek informasi tersebut dapat langsung di konfirmasi melalui akun @lrtjabodebek ya kak. Terima kasih 🙂,rute area layan light rail transit jabodebek informasi langsung konfirmasi akun ya kak terima kasih senyum,"['rute', 'area', 'layan', 'light', 'rail', 'transit', 'jabodebek', 'informasi', 'langsung', 'konfirmasi', 'akun', 'ya', 'kak', 'terima', 'kasih', 'senyum']",7,positive
@mifthaaul Halo kak selamat malam. Mohon maaf kak kami adalah LRT Jakarta melayani rute Pegangsaan Dua hingga Velodrome saja yang merupakan operator berbeda dengan LRT Jabodebek.,halo kak selamat malam mohon maaf kak light rail transit jakarta layan rute gangsa velodrome operator beda light rail transit jabodebek,"['halo', 'kak', 'selamat', 'malam', 'mohon', 'maaf', 'kak', 'light', 'rail', 'transit', 'jakarta', 'layan', 'rute', 'gangsa', 'velodrome', 'operator', 'beda', 'light', 'rail', 'transit', 'jabodebek']",0,neutral
Wamen BUMN sebut kebocoran atap Stasiun LRT Jabodebek Cawang jadi bahan evaluasi. https://t.co/m9AWAxtHrm,wamen badan usaha milik negara bocor atap stasiun light rail transit jabodebek cawang bahan evaluasi,"['wamen', 'badan', 'usaha', 'milik', 'negara', 'bocor', 'atap', 'stasiun', 'light', 'rail', 'transit', 'jabodebek', 'cawang', 'bahan', 'evaluasi']",-12,negative
KCI: Saat LRT Jabodebek Beroperasi Volume Penumpang KRL Naik hingga 35 Persen https://t.co/ShG3lX5xqj #TempoBisnis,kci light rail transit jabodebek operasi volume tumpang kereta listrik persen tempobisnis,"['kci', 'light', 'rail', 'transit', 'jabodebek', 'operasi', 'volume', 'tumpang', 'kereta', 'listrik', 'persen', 'tempobisnis']",-1,negative
lrt jabodebek waktu nunggunya gila bgt euy udh kyk krl nambo. ketinggalan semenit yg selanjutnya 🤣🤣🤣🤣🤣 hrs nunggu sejam bgt??? https://t.co/3WQEyTzl7G,light rail transit jabodebek nunggunya gila banget euy sudah kayak kereta listrik nambo tinggal menit yang tawa lucutawa lucutawa lucutawa lucutawa lucu harus tunggu jam banget,"['light', 'rail', 'transit', 'jabodebek', 'nunggunya', 'gila', 'banget', 'euy', 'sudah', 'kayak', 'kereta', 'listrik', 'nambo', 'tinggal', 'menit', 'yang', 'tawa', 'lucutawa', 'lucutawa', 'lucutawa', 'lucutawa', 'lucu', 'harus', 'tunggu', 'jam', 'banget']",-20,negative
@jalur5_ Semoga masalahnya segera terselesaikan dan LRT Jabodebek kembali beroperasi normal. 🚆,moga selesai light rail transit jabodebek operasi normal,"['moga', 'selesai', 'light', 'rail', 'transit', 'jabodebek', 'operasi', 'normal']",5,positive
Berkurang Lagi LRT Jabodebek Kini Hanya Operasikan 8 Trainset https://t.co/nycZA69jJr,kurang light rail transit jabodebek operasi trainset,"['kurang', 'light', 'rail', 'transit', 'jabodebek', 'operasi', 'trainset']",-2,negative
Berkurang Lagi LRT Jabodebek Kini Hanya Operasikan 8 Trainset https://t.co/HD5I0lhama,kurang light rail transit jabodebek operasi trainset,"['kurang', 'light', 'rail', 'transit', 'jabodebek', 'operasi', 'trainset']",-2,negative
Anggota Komisi VI DPR RI Amin Ak mendesak Badan Pemeriksa Keuangan (BPK) mengaudit proyek LRT Jabodebek untuk memastikan penyebab buruknya kualitas trainset LRT Jabodebek.  https://t.co/obqTIbXZXA #bpk #AminAk #LRTJabodebek #masalahLRTJabodebek,anggota komisi vi dewan wakil rakyat ri amin aku desak badan periksa uang bapak audit proyek light rail transit jabodebek sebab buruk kualitas trainset light rail transit jabodebek bapak aminak lrtjabodebek masalahlrtjabodebek,"['anggota', 'komisi', 'vi', 'dewan', 'wakil', 'rakyat', 'ri', 'amin', 'aku', 'desak', 'badan', 'periksa', 'uang', 'bapak', 'audit', 'proyek', 'light', 'rail', 'transit', 'jabodebek', 'sebab', 'buruk', 'kualitas', 'trainset', 'light', 'rail', 'transit', 'jabodebek', 'bapak', 'aminak', 'lrtjabodebek', 'masalahlrtjabodebek']",-13,negative
@rizkidwika emamg paling bener beli dari jepang/cina/korea 😂. jauh bgt kualitas lrt jakarta sama lrt jabodebek,emamg benar beli jepang cina korea tawa lucu banget kualitas light rail transit jakarta light rail transit jabodebek,"['emamg', 'benar', 'beli', 'jepang', 'cina', 'korea', 'tawa', 'lucu', 'banget', 'kualitas', 'light', 'rail', 'transit', 'jakarta', 'light', 'rail', 'transit', 'jabodebek']",2,positive
@bawango @jalur5_ @lrtjabodebek cintai produk dalam negeri meski produknya begini,cinta produk negeri produk,"['cinta', 'produk', 'negeri', 'produk']",8,positive
KCI LRT Jabodebek LRT Jakarta BI OJK Bank penyedia eMoney di Indonesia: Tap kartu cepet jalan cepet atau lari sambil tap itu buat apa?,kci light rail transit jabodebek light rail transit jakarta bi ojk bank sedia emoney indonesia tap kartu cepat jalan cepat lari tap,"['kci', 'light', 'rail', 'transit', 'jabodebek', 'light', 'rail', 'transit', 'jakarta', 'bi', 'ojk', 'bank', 'sedia', 'emoney', 'indonesia', 'tap', 'kartu', 'cepat', 'jalan', 'cepat', 'lari', 'tap']",0,neutral
PT Kereta Api Indonesia (Persero) atau KAI sudah memperbaiki atap bangunan penghubung Stasiun LRT Jabodebek Cawang yang jebol imbas tingginya curah hujan Sabtu (4/11) malam WIB. #MostUpdate1058 https://t.co/qGNSEp1W3l,pt kereta api indonesia persero kau baik atap bangun hubung stasiun light rail transit jabodebek cawang jebol imbas tinggi curah hujan sabtu malam waktu indonesia bagi barat mostupdate,"['pt', 'kereta', 'api', 'indonesia', 'persero', 'kau', 'baik', 'atap', 'bangun', 'hubung', 'stasiun', 'light', 'rail', 'transit', 'jabodebek', 'cawang', 'jebol', 'imbas', 'tinggi', 'curah', 'hujan', 'sabtu', 'malam', 'waktu', 'indonesia', 'bagi', 'barat', 'mostupdate']",-9,negative
Keluhan Penumpang LRT Jabodebek Masalah Waktu Tunggu Lama Tak Kunjung Usai  Waktu tunggu LRT Jabodebek masih 30 menit hingga 1 jam. Para penumpang pun mengeluh karena masalah ini tak kunjung selesai. detikers ada yang merasakannya juga?  &gt &gt  https://t.co/jveLvhOGuJ  #detikcom,keluh tumpang light rail transit jabodebek tunggu kunjung tunggu light rail transit jabodebek menit jam tumpang keluh kunjung selesai detikers rasa begitu begitu detikcom,"['keluh', 'tumpang', 'light', 'rail', 'transit', 'jabodebek', 'tunggu', 'kunjung', 'tunggu', 'light', 'rail', 'transit', 'jabodebek', 'menit', 'jam', 'tumpang', 'keluh', 'kunjung', 'selesai', 'detikers', 'rasa', 'begitu', 'begitu', 'detikcom']",-2,negative
@obor_oddiebor @myhppylittlepil @jalur5_ @lrtjabodebek Kyknya konsorsium bumn (cmiiw),seperti konsorsium badan usaha milik negara correct me if i am wrong,"['seperti', 'konsorsium', 'badan', 'usaha', 'milik', 'negara', 'correct', 'me', 'if', 'i', 'am', 'wrong']",-6,negative
Jabodebek memiliki Layanan LRT yang semakin memudahkan mobilitas penduduk. Bagi Anda yang ingin menggunakan LRT berikut panduan lengkapnya termasuk rute dan tarif. https://t.co/xLRtdS2BFr,jabodebek milik layan light rail transit mudah mobilitas duduk light rail transit pandu lengkap rute tarif,"['jabodebek', 'milik', 'layan', 'light', 'rail', 'transit', 'mudah', 'mobilitas', 'duduk', 'light', 'rail', 'transit', 'pandu', 'lengkap', 'rute', 'tarif']",4,positive
Akhir-akhir ini sejumlah penumpang LRT Jabodebek mengeluhkan waktu tunggu yang panjang. Bahkan para penumpang terpaksa menunggu kereta LRT hingga hampir satu jam. Berikut pantauan tim lapangan CNN Indonesia. https://t.co/ns6OyEQkD6 https://t.co/GXv3Pi3FxA,tumpang light rail transit jabodebek keluh tunggu tumpang paksa tunggu kereta light rail transit jam pantau tim lapang cnn indonesia,"['tumpang', 'light', 'rail', 'transit', 'jabodebek', 'keluh', 'tunggu', 'tumpang', 'paksa', 'tunggu', 'kereta', 'light', 'rail', 'transit', 'jam', 'pantau', 'tim', 'lapang', 'cnn', 'indonesia']",-9,negative
lrt jabodebek stop bikin gw nangis,light rail transit jabodebek stop bikin gue menang,"['light', 'rail', 'transit', 'jabodebek', 'stop', 'bikin', 'gue', 'menang']",-1,negative
Stasiun LRT Jabodebek dan Kereta Cepat Sama-Sama Kebocoran https://t.co/vpex1ScicE,stasiun light rail transit jabodebek kereta cepat bocor,"['stasiun', 'light', 'rail', 'transit', 'jabodebek', 'kereta', 'cepat', 'bocor']",-8,negative
Mulai Sabtu 16 September 2023 LRT Jabodebek melakukan penambahan jadwal perjalanan LRT Jabodebek guna memenuhi peningkatan kebutuhan pengguna jasa LRT Jabodebek. #LRTTambahJumlahPerjalanan https://t.co/VBFfBOM0yr,sabtu september light rail transit jabodebek tambah jadwal jalan light rail transit jabodebek penuh tingkat butuh guna jasa light rail transit jabodebek lrttambahjumlahperjalanan,"['sabtu', 'september', 'light', 'rail', 'transit', 'jabodebek', 'tambah', 'jadwal', 'jalan', 'light', 'rail', 'transit', 'jabodebek', 'penuh', 'tingkat', 'butuh', 'guna', 'jasa', 'light', 'rail', 'transit', 'jabodebek', 'lrttambahjumlahperjalanan']",4,positive
Bola dioper ke @lrtjabodebek.,bola oper,"['bola', 'oper']",0,neutral
Jadwal Keberangkatan LRT Jabodebek Senin 6 November 2023 https://t.co/wSzI9Ie0Or @jokowi @kemenhub151 @BudiKaryaS @perkeretaapian @KAI121 @mas_didiek @lrtjabodebek @pemkotbekasi @DishubBekasi @YLKI_ID @Travelers @dishubjakarta @Aline_Dh1510 @elynurfalah @Ridwan680911 @saidi_rfp,jadwal berangkat light rail transit jabodebek senin november,"['jadwal', 'berangkat', 'light', 'rail', 'transit', 'jabodebek', 'senin', 'november']",-4,negative
https://t.co/8u05hLvITT   iral video plafon bangunan penghubung di Stasiun LRT Jabodebek Cawang Jakarta Timur ambrol. Pihak LRT menyebut penyebabnya karena hujan yang terjadi Sabtu (4/11) malam. #alurinfo #lrt #Hujan,iral video plafon bangun hubung stasiun light rail transit jabodebek cawang jakarta timur ambrol light rail transit sebut sebab hujan sabtu malam alurinfo light rail transit hujan,"['iral', 'video', 'plafon', 'bangun', 'hubung', 'stasiun', 'light', 'rail', 'transit', 'jabodebek', 'cawang', 'jakarta', 'timur', 'ambrol', 'light', 'rail', 'transit', 'sebut', 'sebab', 'hujan', 'sabtu', 'malam', 'alurinfo', 'light', 'rail', 'transit', 'hujan']",-4,negative
@jalur5_ @lrtjabodebek Wuuuu gembel @perkeretaapian @KAI121 @lrtjabodebek,wuuuu gembel,"['wuuuu', 'gembel']",-5,negative
Semoga bisa segera diatasi dan gak keulang ya masalah seperti ini... #KAI #LRTJabodebek #KCIC #KreasiKompascom #JernihMelihatDunia https://t.co/EHVOuKhLia,moga atas tidak ulang ya kau lrtjabodebek kcic kreasikompascom jernihmelihatdunia,"['moga', 'atas', 'tidak', 'ulang', 'ya', 'kau', 'lrtjabodebek', 'kcic', 'kreasikompascom', 'jernihmelihatdunia']",-8,negative
@jalur5_ @lrtjabodebek Kerja tidak bagus cuma buang-buang uang rakyat. Pengawasnya tidak memeriksa pekerjaan dengan benar harusnya diperiksa dahulu hasil pekerjaan baru tanda tangan. Banyak sekali pengawas yang tidak beres daerah dan pusat sama saja. Kerja yang benar dong malu dengan titelnya.,kerja bagus buang buang uang rakyat awas periksa kerja periksa hasil kerja tanda tangan awas beres daerah pusat kerja malu titel,"['kerja', 'bagus', 'buang', 'buang', 'uang', 'rakyat', 'awas', 'periksa', 'kerja', 'periksa', 'hasil', 'kerja', 'tanda', 'tangan', 'awas', 'beres', 'daerah', 'pusat', 'kerja', 'malu', 'titel']",-13,negative
siang min @lrtjabodebek mau tanya saldo minimal di kartu elektronik harus berapa ya? atau ga ada minimal saldo?,siang min saldo minimal kartu elektronik ya tidak minimal saldo,"['siang', 'min', 'saldo', 'minimal', 'kartu', 'elektronik', 'ya', 'tidak', 'minimal', 'saldo']",-7,negative
PT Kereta Api Indonesia (Persero) memastikan insiden atap jebol di Stasiun Cawang tidak akan mengganggu pelayanan LRT Jabodebek pada masyarakat.,pt kereta api indonesia persero insiden atap jebol stasiun cawang ganggu layan light rail transit jabodebek masyarakat,"['pt', 'kereta', 'api', 'indonesia', 'persero', 'insiden', 'atap', 'jebol', 'stasiun', 'cawang', 'ganggu', 'layan', 'light', 'rail', 'transit', 'jabodebek', 'masyarakat']",-9,negative
Menurut kalian gimana?  Stasiun LRT Jabodebek dan Kereta Cepat sama-sama mengalami insiden pada akhir pekan lalu. Atap Stasiun LRT Cawang dilaporkan jebol dan Stasiun Kereta Cepat Halim mengalami kebocoran. https://t.co/gP7IkiEU9L,bagaimana stasiun light rail transit jabodebek kereta cepat alami insiden pekan atap stasiun light rail transit cawang lapor jebol stasiun kereta cepat halim alami bocor,"['bagaimana', 'stasiun', 'light', 'rail', 'transit', 'jabodebek', 'kereta', 'cepat', 'alami', 'insiden', 'pekan', 'atap', 'stasiun', 'light', 'rail', 'transit', 'cawang', 'lapor', 'jebol', 'stasiun', 'kereta', 'cepat', 'halim', 'alami', 'bocor']",-19,negative
Lebih lama nunggu kereta @lrtjabodebek dari pada perjalanan jakarta bandung naik @KeretaCepatID  tolonglah jeda waktu nya diperpendek masa 1 jam nunggu buat jadwal keberangkatan selanjutnya.,tunggu kereta jalan jakarta bandung tolong jeda nya pendek jam tunggu jadwal berangkat,"['tunggu', 'kereta', 'jalan', 'jakarta', 'bandung', 'tolong', 'jeda', 'nya', 'pendek', 'jam', 'tunggu', 'jadwal', 'berangkat']",-14,negative
Dear Pak @jokowi jalanan #Jakarta macetnya makin g kira2..tadinya sangat trbantu @lrtjabodebek tp kini blm ada lg kejelasan jkt-bekasi 45 headway 12-15 mnt..naik @PT_Transjakarta jg sama..turun d halte luar tp g bs naik bis yg tujuannya sm dgn saya alhasil cm bs gigit hari,dear jalan jakarta macet tidak trbantu tetapi belum lagi jelas jakarta bekas headway minta juga turun di halte tetapi tidak bisa bis yang tuju sama dengan alhasil cuma bisa gigit,"['dear', 'jalan', 'jakarta', 'macet', 'tidak', 'trbantu', 'tetapi', 'belum', 'lagi', 'jelas', 'jakarta', 'bekas', 'headway', 'minta', 'juga', 'turun', 'di', 'halte', 'tetapi', 'tidak', 'bisa', 'bis', 'yang', 'tuju', 'sama', 'dengan', 'alhasil', 'cuma', 'bisa', 'gigit']",-23,negative
@ayamgorengElin @lrtjabodebek Emanggg aneh bangett . Pagi2 sejam sekali siang2 malah cepet. Padahal lebih crowded pagi org brgkat kerja lebih rame,emanggg aneh banget pagi jam siang cepat crowded pagi orang brgkat kerja ramai,"['emanggg', 'aneh', 'banget', 'pagi', 'jam', 'siang', 'cepat', 'crowded', 'pagi', 'orang', 'brgkat', 'kerja', 'ramai']",-2,negative
@lrtjabodebek sepertinya LRT ga cocok jadi transportasi cepat deh. Iyasih ngindarin macet dan hemat waktu. Tapi jeda waktunya untuk nunggu kretanya itu loh lama banget hampir sejam 🥱🥱. Dah keburu ngantuk gue 😴😴. Ga kayak MRT cuma 10 menit . https://t.co/R50ApW5UK5,light rail transit tidak cocok transportasi cepat deh iyasih ngindarin macet hemat jeda tunggu kretanya lah banget jam sudah keburu antuk gue tidak kayak mrt menit,"['light', 'rail', 'transit', 'tidak', 'cocok', 'transportasi', 'cepat', 'deh', 'iyasih', 'ngindarin', 'macet', 'hemat', 'jeda', 'tunggu', 'kretanya', 'lah', 'banget', 'jam', 'sudah', 'keburu', 'antuk', 'gue', 'tidak', 'kayak', 'mrt', 'menit']",-20,negative
@jalur5_ @lrtjabodebek proyek termasuk sarana dan fasilitas dari tender sampe eksekusi kudu banyak saweran gk salah kalo spek kadang ada yg bikin geleng²,proyek sarana fasilitas tender sampai eksekusi harus sawer tidak salah kalau spesifikasi kadang yang bikin geleng,"['proyek', 'sarana', 'fasilitas', 'tender', 'sampai', 'eksekusi', 'harus', 'sawer', 'tidak', 'salah', 'kalau', 'spesifikasi', 'kadang', 'yang', 'bikin', 'geleng']",-21,negative
@jalur5_ @lrtjabodebek Ketauan ada dana yg dikorupsi,tahu dana yang korupsi,"['tahu', 'dana', 'yang', 'korupsi']",-5,negative
Curah Hujan Tinggi Stasiun LRT Jabodebek dan Kereta Cepat Alami Insiden Kerusakan https://t.co/9IvetljBPz #beritajogja #jogja #jogjaistimewa https://t.co/4uSkVfWSou,curah hujan stasiun light rail transit jabodebek kereta cepat alami insiden rusa beritajogja yoyakarta jogjaistimewa,"['curah', 'hujan', 'stasiun', 'light', 'rail', 'transit', 'jabodebek', 'kereta', 'cepat', 'alami', 'insiden', 'rusa', 'beritajogja', 'yoyakarta', 'jogjaistimewa']",-11,negative
@lrtjabodebek mohon info rute dan stasiun dari stasiun whoosh halim,mohon info rute stasiun stasiun whoosh halim,"['mohon', 'info', 'rute', 'stasiun', 'stasiun', 'whoosh', 'halim']",-5,negative
@Syaiful14742 Btw itu stasiun LRT jabodebek buatan dalam negeri. Bukan stasiun KCIC yg no defeck....,by the way stasiun light rail transit jabodebek buat negeri stasiun kcic yang no defeck,"['by', 'the', 'way', 'stasiun', 'light', 'rail', 'transit', 'jabodebek', 'buat', 'negeri', 'stasiun', 'kcic', 'yang', 'no', 'defeck']",-4,negative
LRT Jabodebek masih beroperasi dengan 8 kereta jadwal berantakan  Hari Senin (6/11) @lrtjabodebek masih mengalami trouble pada jadwalnya akibat hanya 8 trainset beroperasi. Terlihat jarak kereta ke Harjamukti dan Jatimulya yang sangat jauh satu sama lain.  Pic: @_stevemc4 https://t.co/SlMotCUYz0,light rail transit jabodebek operasi kereta jadwal beranta senin alami trouble jadwal akibat trainset operasi jarak kereta harjamukti jatimulya pic,"['light', 'rail', 'transit', 'jabodebek', 'operasi', 'kereta', 'jadwal', 'beranta', 'senin', 'alami', 'trouble', 'jadwal', 'akibat', 'trainset', 'operasi', 'jarak', 'kereta', 'harjamukti', 'jatimulya', 'pic']",-11,negative
Adhi Karya dan WIKA Perbaiki Kebocoran di Stasiun Kereta Cepat dan LRT Jabodebek https://t.co/ksy36lyfZm,adhi karya wika baik bocor stasiun kereta cepat light rail transit jabodebek,"['adhi', 'karya', 'wika', 'baik', 'bocor', 'stasiun', 'kereta', 'cepat', 'light', 'rail', 'transit', 'jabodebek']",-3,negative
Adhi Karya dan WIKA Perbaiki Kebocoran di Stasiun Kereta Cepat dan LRT Jabodebek https://t.co/zpDHMbQzAZ,adhi karya wika baik bocor stasiun kereta cepat light rail transit jabodebek,"['adhi', 'karya', 'wika', 'baik', 'bocor', 'stasiun', 'kereta', 'cepat', 'light', 'rail', 'transit', 'jabodebek']",-3,negative
Mulai tanggal 28 Agustus 2023 ini kita bisa sudah bisa naik LRT Jabodebek loh! Tarifnya juga ekonomis. Kira-kira setelah September 2023 tarifnya jadi berapa ya? #LRTJabodebekDiskon78 https://t.co/AOeWb1A8Bu,tanggal agustus light rail transit jabodebek lah tarif ekonomis september tarif ya lrtjabodebekdiskon,"['tanggal', 'agustus', 'light', 'rail', 'transit', 'jabodebek', 'lah', 'tarif', 'ekonomis', 'september', 'tarif', 'ya', 'lrtjabodebekdiskon']",-1,negative
@jalur5_ @lrtjabodebek Kontraktornya siapa tuh 🥳,kontraktor itu suka ria,"['kontraktor', 'itu', 'suka', 'ria']",1,positive
yang merah merah emang problematik MU Ferarri LRT jabodebek wkwkkwkw,merah merah memang problematik mu ferarri light rail transit jabodebek wkwk,"['merah', 'merah', 'memang', 'problematik', 'mu', 'ferarri', 'light', 'rail', 'transit', 'jabodebek', 'wkwk']",4,positive
