No,Judul Artikel,Nama Jurnal,Prosiding,Penulis,Tahun Terbit,URL Artikel,URL PDF,Abstrak
11,"
On the asymptotic performance of time-delay and Doppler estimation with a carrier modulated by a band-limited signal
",EURASIP Journal on Advances in Signal Processing,N/A,"Joan M. Bernabeu, Lorenzo Ortega, Antoine Blais, Yoan Grégoire and Eric Chaumette",6 April 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01134-2,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01134-2.pdf,"Time-delay and Doppler estimation is crucial in various engineering fields, as estimating these parameters constitutes one of the key initial steps in the receivers operational sequence. Due to its importance, several expressions of the CramrRao Bound (CRB) and Maximum Likelihood Estimation (MLE) have been derived over the years. Previous contributions started from the assumption that the transmission process introduces an unknown phase, which hindered the explicit consideration of the time-delay parameter in the carrier-phase component in theoretical derivations. However, this contribution takes into account this additional term under the assumption that such an unknown phase is inferred and compensated for. This new condition leads to the derivation of a novel MLE. Subsequently, a closed-form expression of the achievable Mean Squared Error (MSE) for the time-delay and Doppler parameters is provided for the asymptotic region, assuming the signal is band-limited. Both expressions are validated via Monte Carlo simulations. This analysis reveals five distinct regions of operation of the MLE, refining existing knowledge and providing valuable insights into time-delay estimation"
12,"
Nearest advocate: a novel event-based time delay estimation algorithm for multi-sensor time-series data synchronization
",EURASIP Journal on Advances in Signal Processing,N/A,"Christoph Schranz, Sebastian Mayr, Severin Bernhart and Christina Halmich",5 April 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01143-1,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01143-1.pdf,"Estimating time delays in event-based time-series is a crucial task in signal processing as it affects the data quality and is a prerequisite for many subsequent analyses. In particular, data acquired from wearable devices often suffer from a low timestamp precision or clock drift. Current state-of-the-art methods such as Pearson Cross-Correlation are sensitive to typical data quality issues, e.g. misdetected events, and Dynamic Time Warping is computationally expensive. To overcome these limitations, we propose Nearest Advocate, a novel event-based time delay estimation method for multi-sensor time-series data synchronisation. We evaluate its performance using three independent datasets acquired from wearable sensor systems, demonstrating its superior precision, particularly for short, noisy time-series with missing events. Additionally, we introduce a sparse variant that balances precision and runtime. Finally, we demonstrate how Nearest Advocate can be used to solve the problem of linear as well as non-linear clock drifts. Thus, Nearest Advocate offers a promising opportunity for time delay estimation and post-hoc synchronization for challenging datasets across various applications."
13,"
Interpreting artificial intelligence models: a systematic review on the application of LIME and SHAP in Alzheimer’s disease detection
",Brain Informatics,N/A,"Viswan Vimbi, Noushath Shaffi and Mufti Mahmud",5 April 2024,https://braininformatics.springeropen.com/articles/10.1186/s40708-024-00222-1,https://braininformatics.springeropen.com/counter/pdf/10.1186/s40708-024-00222-1.pdf,"Explainable artificial intelligence (XAI) has gained much interest in recent years for its ability to explain the complex decision-making process of machine learning (ML) and deep learning (DL) models. The Local Interpretable Model-agnostic Explanations (LIME) and Shaply Additive exPlanation (SHAP) frameworks have grown as popular interpretive tools for ML and DL models. This article provides a systematic review of the application of LIME and SHAP in interpreting the detection of Alzheimers disease (AD). Adhering to PRISMA and Kitchenhams guidelines, we identified 23 relevant articles and investigated these frameworks prospective capabilities, benefits, and challenges in depth. The results emphasise XAIs crucial role in strengthening the trustworthiness of AI-based AD predictions. This review aims to provide fundamental capabilities of LIME and SHAP XAI frameworks in enhancing fidelity within clinical decision support systems for AD prognosis."
14,"
FEDDBN-IDS: federated deep belief network-based wireless network intrusion detection system
",EURASIP Journal on Information Security,N/A,"M. Nivaashini, E. Suganya, S. Sountharrajan, M. Prabu and Durga Prasad Bavirisetti",4 April 2024,https://jis-eurasipjournals.springeropen.com/articles/10.1186/s13635-024-00156-5,https://jis-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13635-024-00156-5.pdf,"Over the last 20 years, Wi-Fi technology has advanced to the point where most modern devices are small and rely on Wi-Fi to access the internet. Wi-Fi network security is severely questioned since there is no physical barrier separating a wireless network from a wired network, and the security procedures in place are defenseless against a wide range of threats. This study set out to assess federated learning, a new technique, as a possible remedy for privacy issues and the high expense of data collecting in network attack detection. To detect and identify cyber threats, especially in Wi-Fi networks, the research presents FEDDBN-IDS, a revolutionary intrusion detection system (IDS) that makes use of deep belief networks (DBNs) inside a federated deep learning (FDL) framework. Every device has a pre-trained DBN with stacking restricted Boltzmann machines (RBM) to learn low-dimensional characteristics from unlabelled local and private data. Later, these models are combined by a central server using federated learning (FL) to create a global model. The whole model is then enhanced by the central server with fully linked SoftMax layers to form a supervised neural network, which is then trained using publicly accessible labeled AWID datasets. Our federated technique produces a high degree of classification accuracy, ranging from 88% to 98%, according to the results of our studies."
15,"
Validation of graph sequence clusters through multivariate analysis: application to Rovash scripts
",Heritage Science,N/A,Gábor Hosszú,3 April 2024,https://heritagesciencejournal.springeropen.com/articles/10.1186/s40494-024-01211-7,https://heritagesciencejournal.springeropen.com/counter/pdf/10.1186/s40494-024-01211-7.pdf,"This paper introduces the concept of pattern systems that evolve, with a focus on scripts, a specific type of pattern system. The study analyses the development of different script systems, known as scriptinformatics, with a focus on the historical Rovash scripts used in the Eurasian steppe. The aim is to assess the traditional classification of historical inscriptions, referred to as script relics, into distinct Rovash scripts. Clustering and ordination techniques were used to perform multivariate analyses on Rovash scripts and inscriptions. The study presents two new measures, the script-specific holophyletic index and the joint holophyletic index, for evaluating trees produced by hierarchical clustering. The results indicate that holophyletic indices can validate the traditional assignment of inscriptions to scripts through phylogenetic tree evaluation. This method can be extended to include pattern systems with evolutionary properties and graph sequences derived from them, as well as additional scripts and inscriptions."
16,"
Object tracking method based on edge detection and morphology
",EURASIP Journal on Advances in Signal Processing,N/A,"Jie Xu, Sijie Niu and Zhifeng Wang",3 April 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01144-0,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01144-0.pdf,"With the continuous development of science and technology, intelligent surveillance technology using image processing and computer vision is also progressing. To improve the performance of target detection and tracking, an improved target tracking method is proposed, which uses a combination of the Canny operator and morphology for the detection part, and a Kalman filter extended Kernel Correlation Filter (KCF) tracking algorithm approach for the tracking part. First, a convolution kernel of \(3\times 3\) is improved to a convolution kernel of \(2\times 2\) in the traditional Canny algorithm, and the pixel gradient in the diagonal direction is increased. Secondly, a mathematical morphology theory of nonlinear filtering is applied to the Canny edge detection algorithm, and this method effectively improves the clarity of image edges. Finally, the extended kernel correlation filtering algorithm is applied to video surveillance and Online Object Tracking Benckmark2013 (OTB2013) datasets for testing. The experimental results show that the method proposed in this paper can accurately detect moving targets and the algorithm has good accuracy and success rate."
17,"
Joint contrastive learning and belief rule base for named entity recognition in cybersecurity
",Cybersecurity,N/A,"Chenxi Hu, Tao Wu, Chunsheng Liu and Chao Chang",3 April 2024,https://cybersecurity.springeropen.com/articles/10.1186/s42400-024-00206-y,https://cybersecurity.springeropen.com/counter/pdf/10.1186/s42400-024-00206-y.pdf,"Named Entity Recognition (NER) in cybersecurity is crucial for mining information during cybersecurity incidents. Current methods rely on pre-trained models for rich semantic text embeddings, but the challenge of anisotropy may affect subsequent encoding quality. Additionally, existing models may struggle with noise detection. To address these issues, we propose JCLB, a novel model that Joins Contrastive Learning and Belief rule base for NER in cybersecurity. JCLB utilizes contrastive learning to enhance similarity in the vector space between token sequence representations of entities in the same category. A Belief Rule Base (BRB) is developed using regexes to ensure accurate entity identification, particularly for fixed-format phrases lacking semantics. Moreover, a Distributed Constraint Covariance Matrix Adaptation Evolution Strategy (D-CMA-ES) algorithm is introduced for BRB parameter optimization. Experimental results demonstrate that JCLB, with the D-CMA-ES algorithm, significantly improves NER accuracy in cybersecurity."
18,"
On the portrayal of indigenous peoples in English language teaching coursebooks used in Chile: a critical visual literacy/socio-semiotic study
",Asian-Pacific Journal of Second and Foreign Language Education,N/A,"Mauricio Véliz-Campos, Felipe Roa and Leonardo Veliz",2 April 2024,https://sfleducation.springeropen.com/articles/10.1186/s40862-024-00268-y,https://sfleducation.springeropen.com/counter/pdf/10.1186/s40862-024-00268-y.pdf,"This research critically examines the multifaceted role of English as a foreign language (EFL) coursebooks beyond mere language learning objectives. Specifically, the study focuses on how these coursebooks often project universal cultural values that, though seemingly bland, can perpetuate power dynamics leading to various forms of inequality. Drawing on a qualitative methodology that amalgamates socio-semiotic analysis and critical visual literacy, the investigation scrutinizes the portrayal of indigenous peoples within 12 EFL coursebooks used in state-run and subsidized schools across Chile. Furthermore, the research explores the viewpoints and attitudes of seven EFL teachers towards the visual representations of indigenous peoples compared to non-indigenous individuals depicted in the same coursebooks. The findings suggest that indigenous peoples are often depicted as stereotypical remnants of the past, oversimplifying their intricate cultural attributes and presenting them as disconnected from contemporary society. Moreover, the study identifies the failure of coursebook publishers in acknowledging the richness and diversity of indigenous cultures, thereby perpetuating cultural stereotypes and contributing to the process of otherising, which reinforces a sense of separation between the majority (us) and the indigenous minority (them)."
19,"
A novel outlier detection method based on Bayesian change point analysis and Hampel identifier for GNSS coordinate time series
",EURASIP Journal on Advances in Signal Processing,N/A,Hüseyin Pehlivan,2 April 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-023-01097-w,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-023-01097-w.pdf,"The identification and removal of outliers in time series are important problems in numerous fields. In this paper, a novel method (BCP-HI) is proposed to enhance the accuracy of outlier detection in GNSS coordinate time series by combining Bayesian change point (BCP) analysis and the Hampel identifier (HI). By using BCP, change points (cps) in the time series are lidentified, and so the time series is divided into subsegments that have properties of a normal distribution. In each of these separated segments, outliers are detected using HI. Each data element identified as an outlier is corrected by a median filter of window size (w) to obtain the corrected signal. The BCP-HI method was tested on both simulated and real GNSS coordinate time series. Outliers from three different synthetic test datasets with different sampling frequencies and outlier amplitudes were detected with approximately 98% accuracy after processing. After this process, Signal-to-Noise Ratio (SNR) increased from 0.0084 to 10.8714dB and Root Mean Square (RMS) decreased from 24 to 23mm. Similarly, for real GNSS data, approximately 98% accuracy was achieved, with an increase in SNR from 0.0003 to 4.4082dB and a decrease in RMS from 7.6 to 6.6mm observed. In addition, the output signals after BCP-HI were examined graphically using LombScargle periodograms and it was observed that clearer power spectrum distributions emerged. When the input and output signals were examined using the KolmogorovSmirnov (KS) test, they were found to be statistically similar. These results indicate that the BCP-HI algorithm effectively removes outliers, and enhances processing accuracy and reliability, and improves signal quality."
20,"
Multi-rate modulation encoding via unsupervised learning for audio event detection
","EURASIP Journal on Audio, Speech, and Music Processing",N/A,Sandeep Reddy Kothinti and Mounya Elhilali,1 April 2024,https://asmp-eurasipjournals.springeropen.com/articles/10.1186/s13636-024-00339-5,https://asmp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13636-024-00339-5.pdf,"Technologies in healthcare, smart homes, security, ecology, and entertainment all deploy audio event detection (AED) in order to detect sound events in an audio recording. Effective AED techniques rely heavily on supervised or semi-supervised models to capture the wide range of dynamics spanned by sound events in order to achieve temporally precise boundaries and accurate event classification. These methods require extensive collections of labeled or weakly labeled in-domain data, which is costly and labor-intensive. Importantly, these approaches do not fully leverage the inherent variability and range of dynamics across sound events, aspects that can be effectively identified through unsupervised methods. The present work proposes an approach based on multi-rate autoencoders that are pretrained in an unsupervised way to leverage unlabeled audio data and ultimately learn the rich temporal dynamics inherent in natural sound events. This approach utilizes parallel autoencoders that achieve decompositions of the modulation spectrum along different bands. In addition, we introduce a rate-selective temporal contrastive loss to align the training objective with event detection metrics. Optimizing the configuration of multi-rate encoders and the temporal contrastive loss leads to notable improvements in domestic sound event detection in the context of the DCASE challenge."
21,"
DeepDet: YAMNet with BottleNeck Attention Module (BAM) for TTS synthesis detection
","EURASIP Journal on Audio, Speech, and Music Processing",N/A,"Rabbia Mahum, Aun Irtaza, Ali Javed, Haitham A. Mahmoud and Haseeb Hassan",1 April 2024,https://asmp-eurasipjournals.springeropen.com/articles/10.1186/s13636-024-00335-9,https://asmp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13636-024-00335-9.pdf,"Spoofed speeches are becoming a big threat to society due to advancements in artificial intelligence techniques. Therefore, there must be an automated spoofing detector that can be integrated into automatic speaker verification(ASV) systems. In this study, we recommend a novel and robust model, named DeepDet, based on deep-layered architecture, to categorize speech into two classes: spoofed and bonafide. DeepDet is an improved model based on Yet Another Mobile Network (YAMNet) employing a customized MobileNet combined with a bottleneck attention module (BAM). First, we convert audio into mel-spectrograms that consist of timefrequency representationson mel-scale. Second, we trained our deep layered model using the extracted mel-spectrograms on a Logical Access (LA) set, including synthesized speeches and voice conversions of the ASVspoof-2019 dataset. In the end, we classified the audios, utilizing our trained binary classifier. More precisely, we utilized the power of layered architecture and guided attention that can discern the spoofed speech from bonafide samples. Our proposed improved model employs depth-wise linearly separate convolutions, which makes our model lighter weight than existing techniques. Furthermore, we implemented extensive experiments to assess the performance of the suggested model using the ASVspoof 2019 corpus. We attained an equal error rate (EER) of 0.042% on Logical Access (LA), whereas 0.43% on Physical Access (PA) attacks. Therefore, the performance of the proposed model is significant on the ASVspoof 2019 dataset and indicates the effectiveness of the DeepDet over existing spoofing detectors. Additionally, our proposed model is robust enough that can identify the unseen spoofed audios and classifies the severalattacks accurately."
22,"
A novel hybrid model for bridge dynamic early warning using LSTM-EM-GMM
",Advances in Bridge Engineering,N/A,"Shuangjiang Li, Jingzhou Xin, Yan Jiang, Changxi Yang, Xiaochen Wang and Bingchuan Ran",1 April 2024,https://aben.springeropen.com/articles/10.1186/s43251-024-00119-3,https://aben.springeropen.com/counter/pdf/10.1186/s43251-024-00119-3.pdf,"Early warning of existing bridges is now predominated by deterministic methods. However, these methods face challenges in expressing uncertain factors (such as wind load, temperature load, and other variables, etc.). These problems directly impact the timeliness and accuracy of bridge early warning. This study develops an innovative method for bridge dynamic early warning with high versatility and accuracy. Long short-term memory network model (LSTM), expectation maximization (EM) and Gaussian mixture model (GMM) were employed in the proposed method. Firstly, the LSTM model is used to predict the measured monitoring data (such as deflection, strain, cable force, etc.) in real time to obtain the predicted results. Next, the number of clusters for the EM-GMM model is determined using the Calinski-Harabasz (CH) index. The method aims to comprehensively consider the internal cohesion of the clustering, ensuring accurate and reliable clustering results. Then, the EM-GMM model is used to cluster the random influence error and the predicted value, which can get the probabilistic prediction result of each corresponding random influence error. On this basis, the dynamic early warning interval under 95% confidence level is constructed. This facilitates early warning and decision-making for potential structural abnormalities. Finally, the accuracy and practicability of the method are verified by the comparison of engineering applications and existing specifications. The results demonstrate that the probabilistic early warning method considering the uncertain factors in the complex service environment can accurately achieve the dynamic early warning of bridges."
23,"
A precise mathematical approach for analyzing the performance of MIMO space–time block code systems over Weibull fading channels
",EURASIP Journal on Wireless Communications and Networking,N/A,"Abdelmajid Bessate, Youssef Miftah, Hussain Ben-Azza and Faissal El Bouanani",29 March 2024,https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-024-02340-0,https://jwcn-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13638-024-02340-0.pdf,"Multiple-inputmultiple-output (MIMO) systems have effectively addressed todays high demand for 5G communications and beyond. Further, MIMO-assisted spacetime block codes (STBCs) have been shown to enhance the systems performance and provide a complete variety of coherent flat-fading channels. Additionally, the closed-form expression of the probability density function of the summation of correlated Weibull random variables remains unknown. In this work, we investigate the performance analysis of MIMO-STBC-enabled systems subject to the Weibull fading channel. New tight approximate expressions for numerous system performance metrics, e.g., outage probability, average capacity under various rate adaption methods, and average symbol/bit error rate, have been obtained. The Monte Carlo simulation method has corroborated all the presented results."
