Tweet,label
@ps_toto @Obay_Kusut1981 LRT PALEMBANG SELESAI 2018 KINI 2023 MASIH MERUGI DATA DARI TAHUN 2022 MENYEBUT KERUGIANNYA HAMPIR 100MILYAR/TAHUN YG DITAMBAL PAKE DUIT PAJAK RAKYAT ga guna banget kan  lebih lebih kereta cepat jakarta ga sampai bandung nanti https://t.co/EMvTVMk19M,neutral
@pipis @lrtjabodebek Hah sependek itu??,neutral
@lrtjabodebek Wah penting ini buat perawatan prasarana seperti istri kedua harus dibawa setiap saat,positive
@lrtjabodebek kamu belum siap yah?,negative
@AbudiAlsagoff Done hope dpat la buat tambah2 baiki kereta. Nak g kerja jauh. Sini tak ada lrt ke mrt ke.,neutral
@friskyariz @jalur5_ @lrtjabodebek Wkwkwk full upacara nggih masseh oiyo cek wa ju,neutral
@jalur5_ @lrtjabodebek Bangunan baru padahal...😂😂😂,negative
Pagi ini LRT mengalami gangguan yang mengakibatkan keterlambatan perjalanan rute Jatimulya Dukuh Atas. Di setiap stasiun LRT berhenti cukup lama yang menyebabkan penumpang menumpuk. Yang lebih menyiksa AC sempat mati cukup lama. #pasangmata #lrtjabodebek  https://t.co/mEoJMrH9J5 https://t.co/r7LUCnh52I,negative
Pastikan kesiapan operasional LRT Jabodetabek dan Kereta Cepat Jakarta-Bandung #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur #PERPPUCiptaKerjaDukungPertumbuhanEkonomi https://t.co/FSbjU0EAci,neutral
@lrtjabodebek Udah belum min?,neutral
Stasiun dan sarana LRT Jabodebek juga siap mengakomodir seluruh elemen pelanggan termasuk pelanggan disabilitas. Layanannya juga akan terintegrasi dengan berbagai moda lainnya  https://t.co/BocGancuA4 @jokowi,positive
hina sangat ke naik lrt? aku naik lrt sebab malas nak jammed. dalam lrt boleh mengelamun. sampai rumah lagi cepat pada hadap jammed kalau hari jammed. jimat duit minyak. orang duk tanya apa guna kereta ada tapi tak bawa  duit balik naik flight &amp  travel boleh (dia maksudkan mampu),negative
Lokomotif listrik ini digerakkan dengan menggunakan baterai dan disebut sebagai lokomotif listrik dengan tenaga baterai pertama. Robert Davidson kemudian membuat lokomotif yang lebih besar dan diberi nama Galvani.,neutral
“Ayok.. persiapkan diri Anda untuk kereta tujuan Dukuh Atas  ayok… silakan… ayok”  “Ayok  ayok  ayok”  “Awas Buuk hati2 Buuuk”  Buset deh 😂😭 Maafkan standard jadi anak hospitality terlalu tinggi 😭🙏🏻  📍Stasiun LRT Harjamukti,neutral
"Moda transportasi LRT &amp  KCJB akan menjadi Kereta Mejeng"" bagi Rakyat Indonesia  spt dulu Org kalau blm ke Sarinah &amp  Monas spt blm ke Jakarta. Jadi Gerbong2 baiknya sediakan ""Pojok Selfie"" yg ber-beda2 spy tdk membosankan. Pengelola silahkan kreatif ciptakan Both utk Selfie.""",positive
@sofearozaidi_ Ada banyak kot. Kalau jauh dari LRT pun boleh dapat 1k. Belah2 sungai besi  cheras RM800-900 pun ada. And dia ada kereta so ok kot kalau duk jauh dari LRT,neutral
Naik LRT Jabodebek di Pagi Hari Pemandangannya Menakjubkan!  #pasangmata #LRT #lrtjabodebek https://t.co/kUVEZK6dxz,positive
@lrtjabodebek min ini udh tanggal 26 lho.. kalo ga niat ujicoba utk umum ya gapapa min..,negative
Ditargetkan beroperasi di pertengahan tahun ini  LRT Jabodebek akan beda dengan transportasi kereta lainnya  lho! Kabarnya  LRT juga akan tersebar di lokasi strategis yang terintegrasi dengan transportasi lainnya.  Siapa yang udah gak sabar dengan kehadiran LRT ini? #MelesatPasti https://t.co/ZVgVO87Z7z,neutral
not to mention integrasi tj dgn mrt  lrt  krl  kereta jarak jauh  dan kereta bandara omg,positive
Semangat buat yang hari ini naik LRT Jabodebek eh rangkaiannya mengalami masalah,negative
naik motor pergi kerja serious rasa freedom of time. i can spend time to run at least most of the days. kalau naik kereta/lrt mmg idok lah boleh run haha. mmg aware dgn risk nya  tapi kalau dah ajal  naik kereta pun boleh accident kan huhu,neutral
Hello Inkatizen kali ini dari Minka bagikan tentang persiapan sarana LRT Jabodebek bersama Project Manager LRT Jabodebek PT INKA (Persero) Dian Yudha. Check this out!  #LRTJabodebekINKA #BUMNUntukIndonesia https://t.co/TGMqYGerXp,neutral
Mengintip Propek Properti Jakarta Timur Jika LRT Jabodebek dan Kereta Cepat Sudah Beroperasi https://t.co/wmG2KOHfaU,neutral
Besok 17 agustus~~~ harusnya @lrtjabodebek mulai jalan~~ tapi ntahlah..,negative
@jalur5_ @lrtjabodebek rame nya apa mgkn karena masih tarif promo min? klo udah normal masih kek gini ga ya kira2,neutral
@asallehsabri @madriabdullah kalau bas domestic and ktm tak lembab and proper jalan kaki lima  rakyat dah lama x pakai kereta mcm Jepun 😒 punya la aku nak sgt ada LRT kat melaka dari tampin/masjid tanah ke melaka,neutral
@lrtjabodebek kereta datang 20 menit sekali itu selama masa-masa awal operasi saja atau seterusnya akan begini?,negative
Lintas Rel Terpadu (LRT) merupakan transportasi yang terbilang baru di Jakarta. Sebagai angkutan publik LRT dapat melaju dengan kecepatan 50 km/per jam hingga kecepatan maksimum 80 km/perjam.  #jaktv  #jaktvdigital  #taugasi  #LRTjakarta  #LRTjabodebek https://t.co/WQ6YbGUoEJ,neutral
@jalur5_ @lrtjabodebek Coba libatkan audit pembangunan infrastruktur kali aja ada unsur tindak pidana korupsi sehingga kualitas bangunan kurang baik.,negative
Tapi..gue jadi inget di KL Sentral  ada sekitar 4 jenis kereta di sana kalau gak salah. Ada MRT  LRT  kereta bandara  dan komuter. Atau ada yang lain? Sebanyak itu kita gak bingung karena selalu ada gate-nya. Gak bakal salah masuk karena jelas,positive
Malah taunya dari akun @kabarpenumpang dibanding @lrtjabodebek.   Gini amat yasalam,negative
Jika permintaan tersebut tidak dipenuhi B2W tak segan melayangkan protes keras saat peresmian LRT Jabodebek yang dilakukan pada 18 Agustus 2023.  #sepeda #komunitasbiketowork #b2w #lrtjabodebek #parkirsepeda,neutral
@jalur5_ @lrtjabodebek Wajib audit proyek ini oleh tim independen… bagaimanapun ini dari uang pajak yang disetorkan negara ke Bumn,negative
KCJB dan LRT Jabodebek Akan Jadi Kado HUT ke-78 RI Peresmian operasional Proyek Strategis Nasional Kereta Cepat Jakarta Bandung dan LRT Jabodebek akan dilakukan pada bulan Agustus 2023 sebagai kado bagi Hari Ulang Tahun ke-78 Kemerdekaan Republik Indonesia.  #KCJBLRTKadoHut78RI https://t.co/48aGto8nBd,neutral
@Restty_cayah Ada kereta  ada lrt tinggal diatur2 aja transportasinya sama mreka  knapa pd ribut,negative
This is it  Estetika Pilar LRT Jabodebek Dikritik Warganet Ini Penjelasan Para Ahli Klik untuk baca: https://t.co/s7e7i8amf3,neutral
Jangan Lupa! Uji Coba LRT Jabodebek 2 Hari Lagi: Ini Cara Daftar dan Tarifnya   https://t.co/Novnm84wRM  #LRTJabodebek #transportasi,neutral
@windumuktiw @lrtjabodebek @KAI121 @txttransportasi @kabarpenumpang @adriansyahyasin @Adrianussatrio @DukuhAtasBNI @jalur5_ Merk FUJI,neutral
Atap Stasiun LRT Jabodebek Bocor Wamen BUMN: Itu Biasa https://t.co/9NdP49ySNz,negative
Pemerintah gandeng konsultan dari Inggris pastikan kesiapan operasional LRT dan kereta cepat  #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur #PERPPUCiptaKerjaDukungPertumbuhanEkonomi https://t.co/FkBoxpjpJK,neutral
Ngga apa apa semuanya naik selama 2 periode ini..BBM bahan pokok pajak  dll. Yg penting ada jalan Tol LRT kereta cepat di bangun semua...gitu kata rakyatnya @OposisiCerdas @RagilSemar @hariyanto_yamin @Nicho_Silalahi @alisyarief @AndiSinulingga @bachrum_achmadi dll,negative
*KCJB dan LRT Jabodebek Akan Jadi Kado HUT ke-78 RI*  Peresmian operasional Proyek Strategis Nasional Kereta Cepat Jakarta Bandung dan LRT Jabodebek akan dilakukan pada bulan Agustus 2023 sebagai kado bagi Hari Ulang Tahun ke-78 Kemerdekaan Republik Indonesia. https://t.co/00gHudd5GU,neutral
Pleaseeee. I pening yee kalau jalan dekat pekan ipoh tu. Belum lagi kalau time peak hour  cuti lagi. Kereta banyak nyaaa 🤧 Maybe sebab dah biasa jalan2 kat kl naik lrt and mrt kot 😌,neutral
@jalur5_ @lrtjabodebek ini proyek gaada yang benernya,negative
@kepalamumet @uqiiiiiii @rezhadyan @lrtjabodebek @KAI121 Bunyi hujan,neutral
@jalur5_ @lrtjabodebek proyek krya anak bangsa sedihnya banyak jga banyak disunat anak bangsa jdi ya kualitas kereta bangunan sama aja. jadilah anak bangsa lain yg kena ruginya.,negative
@kitcat1461866 Halo kak sangat diperbolehkan yaa kak🙏,neutral
Operasi LRT Jabodebek kemungkinan berbarengan dengan Kereta Cepat Jakarta-Bandung. https://t.co/8lX4Mi8YFe,neutral
Hi #SobatJaktim  Sudah tahu kan kalau LRT Jabodebek memiliki 18 stasiun yang akan beroperasi Melayani masyarakat?  Ingin tahu stasiun apa saja? Simak info detailnya di gambar slide ke 2 yaa!  Sumber: @lrt_jabodebek  #LRTJabodebek #SmarttravelLiveBetter https://t.co/d0g2hwG5Da,neutral
Prabowo tutup mulut dengan masalah ini?  . . . Helena Umur 17 Fajri Cancer Bajingan Tolol Yumi LRT Jabodebek My Name Jisoo Itaewon BABY MONSTER GOT7 NA JAEMIN THANK YOU THE BOYZ https://t.co/3zGbX8FTyg,neutral
Tp sisi lain...pelayanan ke masyarakat penggunanya jd bosok  LRT Jabodebek udh bertahun-tahun gk operasi krn bnyak masalah  KRL jg karena harus mengakomodir kepentingan INKA...ada ratusan ribu pengguna KRL di Jabodetabek yg dikorbankan  Jatoh2nya lbh byk mudharat drpd manfaatnya https://t.co/sfCn1X3ixZ,negative
Menhub Budi Karya Sumadi membocorkan perkiraan tarif LRT Jabodebek berada di kisaran Rp20.000-Rp25.000.  Download #MetroTVXtend sekarang di Play Store &amp  App Store.  #LRTJabodebek #LRT #Bekasi #DukuhAtas https://t.co/d5nhXuDPVH,neutral
@Pulicisaiber @mrtjakarta @lrtjabodebek Mudah-mudahan mereka bisa berbenah menuju yang terbaik 😇,positive
Perbaikan 2 trainset LRT Jabodebek yang tabrakan Oktober 2021 akan selesai November 2023  PT INKA (Persero) menargetkan perbaikan 2 trainset LRT Jabodebek yang mengalami tabrakan di Cibubur Jakarta Timur pada Oktober 2021 akan selesai pada November 2023.  Dikabarkan dua trainset… https://t.co/6lAiDDRtbb,neutral
Kereta LRT Jabodebek juga terintegrasi dengan Kereta Cepat Jakarta - Bandung di stasiun yang berlokasi di Halim.#mediaindonesia #referensibangsa #LRT  Sumber: https://t.co/0Frz62JvqX,positive
@vwexcellent Nek model sjw kyo naracela ya benere market e emang kui. Tapi masalah kui sing non saiki ya jane simpel mergo 2022 bumn ya rame. WDS YIA kui under Brantas AbiprayaHutama KaryaNindya Karya kui anak e Inalum. Inalum anak e Pertamina.Inalum duwe 60% jg nang Inka.Kui ko tekan LRT,neutral
@lrtjabodebek terpantau suasana stasiun tmii jam 7.28 tumplek blek macam mau ada deklarasi.  Tidak ada pemberitahuan gangguan dan papan layar tidak ada info kedatangan.  #lrtjabodebek #rungkad https://t.co/QqqpODlPWy,negative
Ganjar capres dengan rekam jejak terbaik 👍  || Perselingkuhan ASN Maudy Ayunda Mahasiswa Blue Moon Inka Sering First BL Rafael Alun FISIP UI Highly Recommended BL Ciput Amrabat LRT Jabodebek || https://t.co/yl8w6VCri5,neutral
@authan21 @KayaPedagang @fullmoonfolks Udh jadi Gubernur bukan ny bikin Bandung makin berkembang sbg ibukota Jabar  malah propose kereta cepat yg utilisasi nya liat aja kek apaan  aturan duit nya buat MRT /LRT di Bandung aja dulu heran…,negative
Sobat BUMN   LRT Jabodebek Hadir dengan Layanan Terbaik  LRT Jabodebek akan dioperasikan menggunakan sistem Communication-Based Train Control (CBTC) dengan Grade of Automation (GoA) level 3 lho. Sistem CBTC merupakan sistem  pengoperasian kereta berbasis komunikasi. https://t.co/deOFrTFcHb,neutral
@capikative Watsons  7E  KKmart  mana2 stesen minyak atau kaunter MRT  LRT tu sendiri. Dekat mall sometimes ada disediakan mesin topup cth dekat tempat parking kereta.,neutral
Dah berkicap bagai balik kereta busuk  motor busuk  lrt busuk  pastu bangga terpaling stadium. Baik aku duk rumah tengok lagi jelas,negative
@TfJakarta @lrtjabodebek Kapan beroperasi sampe jam 23 min?,neutral
@radianinton @jalur5_ @lrtjabodebek Ga ad yg berani mereka di twitter di Instagram di YouTube banyaaaak,negative
@CommuterLine @lrtjabodebek numpang lewat dari stasiun sudirman kepotonga Rp 1 ? Kenapa harus seperti itu,neutral
Presiden Jokowi minta percepat pembangunan penghubung LRT dan kereta cepat di Halim https://t.co/Jmhuv9AAmc,neutral
@surayaror I pun takda kereta sendiri &amp  lebih senang naik grab &amp  mrt/lrt 😃  Tapi orang lain asyik push kita beli kereta nak tolong bayar roadtax ke,neutral
@ekowboy2 Woi kcjb itu kartu buat mrt lrt bkn buat kereta luar kota oon..,negative
Dari Jatimulya ke Dukuh Atas berapa lama ya? Kalau dari Harjamukti ke Dukuh Atas berapa lama? Simak infonya pada gambar ya Teman Raina 😉  #OktoberCeria #SmartTravelLiveBetter #BUMN #KAI #LRTJabodebek #KeretaApiIndonesia #KeretaApi #TransportasiUmum #TransportasiKereta https://t.co/SxSQrjxiFR,neutral
@kabarpenumpang LRT Jabodebek ini waktu peresmian banyak bgt pejabat yg muncul. Giliran banyak masalah gk ada satupun yg muncul n minta maaf,negative
Mengangkat tema Bangkit Lebih Cepat Melayani Lebih Baik KAI menegaskan optimismenya mampu menyelesaikan proyek LRT Jabodebek dan Kereta Cepat Jakarta-Bandung yang merupakan proyek strategis nasional sesuai target. https://t.co/jbToSSFMfC,neutral
Sony Soundbar HT-S40R 5.1ch Home Cinema with Wireless Rear Speakers https://t.co/U6Je9ZM9rW Perselingkuhan ASN FISIP UI LRT Jabodebek Rafael Alun Trisambodo Komarudin Luhut INKA #Gempa Maudy Ayunda #MovingEp13 Ciput Tiger #viralvideo #PakeAjaDulu https://t.co/i2xcs2DgLk,neutral
Pengamat Kebijakan Publik Agus Pambagio meminta Presiden Jokowi tidak terlalu memanjakan PT Industri Kereta Api Indonesia (INKA) perusahaan BUMN yang merupakan produsen dari kereta LRT Jabodebek. #focus #lrtgangguan #bisnis #videonews https://t.co/GkAt2p6d2v https://t.co/UgYfPOnfA6,negative
@lrtjabodebek Min saldo tersisa kartu brp ya agar bs naik lrt (emoney/brizzi)?,neutral
Aku yg xde duit ni kena la amik lrt sbb nk jimat. X perlu beli kereta. Tp rmh sewa dkt dgn lrt semua mhl2. 😁,neutral
@lrtjkt @lrtjabodebek Siap Admin.,neutral
@fathanfathan_ @lrtjabodebek Pripun pak @jokowi,neutral
"Untuk stasiun @lrtjabodebek Harjamukti harusnya @kemenhub151 bisa bekerja sama dengan Kwarnas Pramuka membuka dan membangun sebagian lahan Wiladatika untuk park and ride"" sebagaimana di Ragunan (Transjakarta) dan Pasar Jum'at (Transjakarta dan MRT) @henrysubiakto""",neutral
6 Tips merencanakan perjalanan anti wacana saat weekend dengan transportasi umum! #AkuTenang #SmartTravelLiveBetter #BUMN #KAI #LRTJabodebek https://t.co/cd3fbuYUKl,neutral
Kereta Lintas Raya Terpadu (#LRT) Jakarta  Bogor  Depok  Bekasi (#Jabodebek) rencananya akan melakukan uji coba dengan penumpang (soft launching) bulan Juli mendatang. Masyarakat umum dapat mendaftar untuk jadi penumpang pertama yang mencoba LRT Jabodebek. https://t.co/jYxLWs3eLX,neutral
"Kegagalan hanyalah kesempatan untuk memulai lagi dengan cara yang lebih cerdas“  Selamat Hari Senin  #HolidayMoodLRTJabodebek #SmartTravelLiveBetter #BUMN #KAI #LRTJabodebek""",neutral
Hello Inkatizen kali ini dari Minka bagikan tentang persiapan sarana LRT Jabodebek bersama Project Manager LRT Jabodebek PT INKA (Persero) Dian Yudha. Check this out!  #LRTJabodebekINKA #BUMNUntukIndonesia https://t.co/NBQZ7tkzjr,neutral
Hi teman Raina!   Bertemu lagi nih di awal akhir pekan bersama quotes andalan Raina yuk tetap semangat!   #LRTJabodebek #SmartTravelLiveBetter https://t.co/riCLPHttm8,neutral
@bachrum_achmadi TEROWONGAN INI MEMBELAH DUA BIKIT (tapi bukan BUKIT DI DADA YAH) Dan LRT MRT &amp  STADIUN KERETA BWH TANAH DUDIRMAN DI JKT? Blum pernah ada sjak jaman VOC Jaman -Yth. Bung karno yth.soeharto habibi mega gusdur.Smpe pd YANG MULYA BPK H. SBY.ADA NYA DI saat prrsidn yg  era 2014 &amp  2019 https://t.co/XanUlxmlJ0,neutral
@SamanthaElisa @lrtjabodebek Selamat siang Kak dan Railmin mohon maaf atas ketidaknyamanannya. Terkait fasilitas yang belum dapat digunakan masih dalam proses perbaikan. Tentunya hal ini merupakan perhatian penting bagi kami untuk dapat terus memberikan fasilitas sesuai kebutuhan setiap pelanggan ya. Trims.,negative
LRT Wangsa Maju. Ni bukan tempat tunggu kereta lah. Kacau betul bas nak berhenti elok-elok. https://t.co/hspC8dUe7o,negative
Masalah Roda LRT Jabodebek Aus Seharusnya Tidak Terjadi! : Okezone Economy https://t.co/dRRZe6KHmS,negative
@janenuby Jadi inget dulu naik kereta kaya biasa  sekarang naik LRT Jabodebek bener-bener upgrade! #NaikKeretaKeren ini langkah bijak untuk bumi kita!,positive
@lrtjabodebek @erickthohir tolong diawasin nih jajaran direksi &amp  manajemennya. Dari soft launching aja udah nggak beres kayak nggak ada planning sama sekali. Tolong dicariin orang yg kompeten lah. Masalah kesejahteraan masyarakat ini.,negative
Puas+seneng naik LRT! Cepat nyaman dan bersih. Walopun masih ada bbrp point yg perlu dibenahi oleh KAI dan INKA. Tp gpp semua butuh waktu.  Buat tarif stlh promo di bulan september ini 1x jalan dikenakan 20rban dari Harjamukti sampai Dukuh atas masih masuk akal kok..,positive
Tanyarl kasian banget admin lrt jakarta kena salah sasaran masalah lrt jabodebek mulu 😭 https://t.co/CjQPJBrUWn,negative
3. PERANG 3 MINGGU Pertempuran yang mendasari Hari Pahlawan juga berlangsung selama 3 minggu lamanya. Kala itu pasukan Inggris ingin Indonesia menyerah dan menjadi negara jajahan Hindia Belanda.,neutral
Dah kurang relevant untuk own a car terutamanya yg di KV. Ada LRT MRT  e-hailing  kereta sewa melalui app. Part paling leceh adalah maintenance  service  repair. Duit kena kopak  masa pun terbuang.,negative
Logo ini diperkenalkan agar masyarakat mulai merasakan kehadiran layanan LRT Jabodebek yang tidak lama lagi akan beroperasi. https://t.co/lOpTgz5KpY,neutral
@jalur5_ @lrtjabodebek Pasti yang disalahkan Pak @aniesbaswedan,negative
APAD mengesyorkan penggantungan pembangunan dan aktiviti terhad di zon perlindungan kereta api serta-merta susulan gangguan perkhidmatan LRT laluan Ampang pagi ini.  https://t.co/2gwGeoFKoi  https://t.co/2gwGeoFKoi,neutral
@txttransportasi Kenapa harus LRT? Sudah mahal  cepat rusak. Bikin kereta biasa saja  yg di kemudian hari bisa disambung sampai banda aceh,negative
@RMalanjum_ Ok la. Penang bg cukai banyak kat Federal. Banyak penduduk  port  airport. Bandaraya yang dah pesat. Penang tak mampu lg tampung kenderaan kereta motorsikal sbb dah pack sangat. Elok la buat LRT. Kelantan penduduk tak ramai. Cukai pun tak cukup cover expenses.,negative
Faktor psikologis penumpang menjadi pertimbangan karena rasa aman dengan adanya kru kereta yang ada bersama mereka.  #OktoberCeria #SmartTravelLiveBetter #BUMN #KAI #LRTJabodebek #keretaapi #KeretaApiIndonesia #keretaapikita,positive
Tas Selempang Wanita Les Catino Original Seri Ruth  Pilihan warna tersedia 1 Harga : Rp 179.000 Pemesanan: https://t.co/HyidgP6x0g #Boti #bubagirl #Lombok #ImranKhan #Gempa #abaya #Sambo #Garut #Kerasa #BPJS #Kepala #Bencong #Biadab #LRTJabodebek #Paspampres #Kalsel #MaudyAyunda https://t.co/o55kPoZKQy,neutral
Sobat NTMC  Dirgakkum Korlantas Polri Brigjen Pol Aan Suhanan mencoba moda transportasi publik baru yakni kereta LRT yang saat ini masih dalam tahap ujicoba sampai dengan 16 Agustus 2023  https://t.co/Ld5Z9YVLhU  #StopPelanggaranStopKecelakaanKeselamatanUntukKemanusiaan https://t.co/2QIZTT96l6,neutral
Akhir pekan telah tiba. Jadi ingat dulu bebas jajan di setiap akhir pekan. Jajanan jadul yang bikin makin kangen masa kecil 😍 Es gabus gulali es potong es goyang kue rangi apalagi ya?  #OktoberCeria  #SmartTravelLiveBetter #BUMN #KAI #LRTJabodebek #JajananJadul,neutral
@Outstandjing LRT Sumsel Bukti Prestasi Anak Bangsa  J****i merasakan bahwa LRT Sumsel ini jauh lebih baik dari LRT di negara-negara maju yang pernah dicobanya  https://t.co/fQps86ROkH  Jika LRT jabo disebut produksi pertama anak bangsa  LRT sumsel nomor berapa. (Pernyataan inka sendiri),positive
@IdiietH @anh__49 @lrtjabodebek LRT Jabodebek BUMN LRT Jakarta anak usaha BUMD.,neutral
@jalur5_ @lrtjabodebek a true incompetent test of Indonesian civil eng architect &amp  builder.  di Indon itu cuma ada 2 musim kering  &amp  basah cuma mikir 2x dalam setahun aja ga becus.  gimana kalau 4 musim apa ga tambah mumet lagi ndase orang2 Indon ini harus mikir 4x dalam setahun.,negative
Paska Jokowi lengser  cabut UU Omnibus law Cipta Kerja   UU Kesehatan  revisi UU Minerba  revisi UU KPK  batalkan IKN  Audit Kereta Cepat  LRT Palembang dan seluruh proyek infrastruktur  serta wajibkan TKA berbahasa Indonesia !,negative
@jalur5_ @lrtjabodebek Baru kena hujan udah jebol...  Bangunan jaman belanda masih kokoh.  Malu,negative
nk tnya- korang prefer naik lrt sejam ke atau drive kereta setengah jam (including parking)?,negative
Transit dari @PT_Transjakarta ke @lrtjabodebek gini amat. Ga niat integrasinya https://t.co/aOHXrCCCMy,negative
Hi teman Raina!  Gimana masih semangat liburannya? Yuk baca quotes dulu dari Raina untuk menambah semangat kalian  #LRTJabodebek #SmartTravelLiveBetter https://t.co/zbo1iumIOY,neutral
KAI menyiapkan dua layanan kereta yang akan menghubungkan Jakarta dan Bandung dengan Stasiun Kereta Cepat. Layanan itu adalah LRT Jabodebek dan KA Feeder KCJB.  https://t.co/nJjXHRHO7R,neutral
@SukoMartantyo @laglagkannyajoy @iyamrenzia @ihsanfahmy @txtdrjkt Kalau mau salah salahan salahin diri lu sendiri aja kenapa anti sama produk inka. Gak percaya produk inka ya gak usah naik lrt yang support inka silakan naik.,positive
Peresmian operasional Proyek Strategis Nasional Kereta Cepat Jakarta Bandung dan LRT Jabodebek akan dilakukan pada bulan Agustus 2023 sebagai kado bagi Hari Ulang Tahun ke-78 Kemerdekaan Republik Indonesia.   #KCJBLRTKadoHut78RI #keretaapikita https://t.co/rk8LR2VlA4,positive
@adiw9237 @VIVAcoid lah ..kereta kan bukan produk baru di Indonesia..mo uap..diesel atau listrik...kita udh pengalaman expert..ga perlu belajar lagi dari awal...LRT masalah  bukan hanya tehnik....tapi karena ke aroganan penguasa.. fix no debat,negative
@kabarpenumpang Bro @kabarpenumpang   ga usah kereta cepat Jakarta - Surabaya. Rp 2 T plus Rp 20 T sudah jadi MRT  LRT &amp  busway di Surabaya.,negative
