Date,Tweet,label,gol_korupsi
6/29/2023,turun suara ai demokrasi indonesia perjuangan 20 indikator ekonomi 5 10thn korupsi meroket infrastruktur mangkrak impo meroket tenaga kerja sulit bahan pokok terkendali kesehatan pendidikan kesejahteraan tercapai,negatif,kesehatan
6/29/2023,mudahnya pakai pasal 12 huruf e undang undang korupsi ada pungutan liar kepolisian republik indonesia ada ngusut,negatif,Polisi
6/29/2023,korupsi es o pe,negatif,Hujatan
6/29/2023,mental budak koruptor senang korupsi budaya,negatif,kesehatan
6/29/2023,info terbaru makanan jamaah haji korupsi prihatin negeri berubah republik garong,negatif,kesehatan
6/29/2023,om paloh panik boroknya terbongkar johnny plate sidang korupsi nasional demokrat ogah terlibat anies mamat ketikung daging hanum t o p arsenal nyate na west ham take 2023 bsi mobile lebaran sore,negatif,Hujatan
6/29/2023,asalamualaikum alaikum wr wb indonesia mendekati pemahaman timur negarawan bukti penerbitan peraturan larangan menerima gratifikasi pejabat negara larangan bepergian bebas negeri korupsi haram,negatif,Pendidikan
6/29/2023,suami2 korupsi istri pendorong utamanya impas,negatif,Hujatan
6/29/2023,episode perdana podcast alun alun makassar sulawesi selatan mengobrol manggazali penyuluh anti korupsi paksi manggazali pendekatan menarik penyuluhan mendongeng,negatif,Hujatan
6/29/2023,sahkan aset lelang masyarakat terbukti korupsi pencucian uang foya foya,negatif,Ekonomi
6/29/2023,dalih peg jiwasraya menerima zaman direktur utama dinyatakan bersalah korupsi,negatif,Hujatan
6/29/2023,teerasil dangda safea salli layak pe imbangkan,netral,NaN
6/29/2023,ainya dibubarkan ada korupsi,negatif,Hujatan
6/29/2023,ada korupsi ada korupsi,negatif,Hujatan
6/29/2023,membuka skandal korupsi ada tindakan,negatif,Hujatan
6/29/2023,saksi korupsi dibunuh kelanjutan kasusnya ada peti es,negatif,Hujatan
6/29/2023,pejabat berlomba lomba mangandakan perjalanan dinas korupsi,negatif,kesehatan
6/29/2023,perjalanan dinas ajang korupsi,negatif,kesehatan
6/29/2023,menggadang2kan intoleran radikal mengambil keuntungan pribadi toleransi korupsi radikal akal negara kesatuan republik indonesia harga mati rakyatnya mati kelaparan,negatif,Ekonomi
6/29/2023,komisi pemberantasan korupsi tetapkan tersangka tppu tindak pidana korupsi papua,negatif,Polisi
6/29/2023,urusan moral kinerja ada hubungannya suka bokep mengumpet munafik jago mengumpet korupsi dalih kelebihan bayar,negatif,Hujatan
6/29/2023,menguntungkan ada korupsi tergantung pelakunya,negatif,Hujatan
6/29/2023,ada jasa pemberantasan korupsi keliling,negatif,Polisi
6/29/2023,ambil matkul sosio korupsi tapiii cek materi dosennya ya stasiun 30k,negatif,Hujatan
6/29/2023,laaaaa menipu 11000t dikantong menipu mobil esemka menipu ekonomi meroket menipu jual negara teroris korupsi tersubur kader ai demokrasi indonesia dewan perwakilan rakyat kabinet junjung dasar penjilat pengkhianat,negatif,Hujatan
6/29/2023,gerombolan mu ai keadilan sejahtera berkuasa 10thn hasil nya bikin hambalang mangkrakkkkk memimpikan bikin toll trans jawa sumatra impor sapi korupsi ahahahah,negatif,Ekonomi
6/29/2023,korupsilah selagi korupsi biar rakyat ada hiburannya baca berita heboh menghibur orang ibadah,negatif,Hujatan
6/29/2023,bntarrr korupsi,negatif,Hujatan
6/29/2023,jatuh orang beretika tersandung korupsi pelayan oligarki,negatif,Hujatan
6/29/2023,foto korupsi duit,negatif,Hujatan
6/29/2023,bubarkan komisi pemberantasan korupsi ada ada komisi pemberantasan korupsi korupsi tumbuh subur orang orang komisi pemberantasan korupsi nya terjerat suap tindakan amoral mark up anggaran sangei hukumnya diobok obok penguasa komisi pemberantasan korupsi ada gunanya,negatif,kesehatan
6/29/2023,terpengaruh pencalonan presiden anies komisi pemberantasan korupsi selidiki dugaan korupsi formula e,negatif,kesehatan
6/29/2023,4 pernyataan terkini komisi pemberantasan korupsi terkait dugaan korupsi menjerat gubernur nonaktif papua lukas enembe,negatif,teknologi
6/29/2023,muda korupsi,negatif,Hujatan
6/29/2023,tren dimana korupsi bawa bawa nama universitas jujur justified modus riset perbandingan produk a b c rekomendasi teknis mengarah produk te entu studi proyek kerja amdal studi kelayakan cost tenaga ahli,negatif,teknologi
6/29/2023,informasi tuduhan terlibat korupsi e kakak tanda penduduk fitnah serangan kubu sebelah panik ada bahan menjatuhkan ganjar pranowo beliau komitmen pemberantasan korupsi dengar kubu sebelah,negatif,Polisi
6/29/2023,brewok ketakutan dibuka keterlibatan nasden johny plate mega korupsi kemeninfo 8 2 triliun plate berani menawarkan whishel blower saksi mahkota tindakan plate mengancam brewok nasional demokrat terbukti,negatif,Ekonomi
6/29/2023,memalukan korupsi mesum arogan ya bunyi,negatif,Hujatan
6/29/2023,korupsi 5 triliun bikin stadion jelek standar,negatif,Hujatan
6/29/2023,alhamdulillah pekerjaan halal korupsi surat pemberitahuan tahunan rafael alun kafir pegawe pajak,negatif,kesehatan
6/29/2023,korupsi gantian senang kayaknya jagoan be engkar nih musuh lapangan golf te awa bareng,negatif,kesehatan
6/29/2023,pemimpin efektif pintar berpidato mencitrakan disukai kepemimpinan tercermin kerja ngapusi korupsi salam metal 1,negatif,kesehatan
6/29/2023,korupsi beda bendera pakai pura pura bermusuhan rakyat wakanda malu semut merah baris dinding menatap curiga,negatif,Ekonomi
6/29/2023,mengalir kelaut korupsi,negatif,Hujatan
6/29/2023,ketua komisi pemberantasan korupsi firli bahuri menemukan bukti keterlibatan ganjar korupsi e kakak tanda penduduk menemukan ada bukti tuduhan dialamatkan ganjar pranowo berdasar ganjar terlibat korupsi e kakak tanda penduduk,negatif,Polisi
6/29/2023,ott korupsi mustahil menangkap koruptornya video bajakan sok iya,negatif,kesehatan
6/29/2023,lupa mentri2 korupsi pakai uang rakyat,negatif,Hujatan
6/29/2023,corelasinya ya korupsi pernyataan panji gumilang kacau,negatif,Hujatan
6/29/2023,korupsi korporasi kian meresahkan,negatif,Hujatan
6/29/2023,salah memahami reformasi demokrasi tegaknya supremasisipil sipil a militer hukum ditegakkan korupsi diberantas tatatan kehidupan politik ekonomi adil berkeadilan tercipta masarakat madani supremasi sipil plonga plongo,negatif,Ekonomi
6/29/2023,diizinkan ya kak bentuk kehati2an lantas menggampangkan mengambil haknya bab korupsi dibahas detail buku a haram muamalah kontemporernya ustad erwandi kak,negatif,Pendidikan
6/29/2023,gaji guru disuruh bbersyukur gaji tukang bersih2 disuruh bersyukur giliran gaji anggota dewan protes berkontribusi masyarakat korupsi wkwk taee,negatif,Pendidikan
6/29/2023,a inya gonggongan bacotan kafir pemujanya suka menonton bokep tukang korupsi duit rakyat plus gonggongan fitnah pir,negatif,Hujatan
6/29/2023,korupsi menghabiskan dana pusat kuroken,negatif,Hujatan
6/29/2023,ya ogah sponsor acara sponsor event dana sosial bisnis goblok rugi terjerat korupsi terciduk menangis drun,negatif,kesehatan
6/29/2023,korupsi orang rumahku,negatif,Hujatan
6/29/2023,berbahaya ada indikasi korupsi proyek ppk aries muajib nih batam,negatif,infrastruktur
6/29/2023,sekunci apapun terindikasi korupsi kerja ya dipecat paham,negatif,Hujatan
6/29/2023,mismanagement potensi korupsi,negatif,Hujatan
6/29/2023,dana pembuatan al alquran korupsi ya kitab suci korup sepe inya takut tuhan,negatif,Hujatan
6/29/2023,pikiran sih syl suaminya puan jokowi korupsi ya sikat korupsi musuh indonesia maju suruh catat otak denny indrayana ingatkan tersangkut korupsi,negatif,Hujatan
6/29/2023,terseret korupsi bts segudang a kekayaan menpora dito ariotedjo dilaporkan,negatif,Hujatan
6/29/2023,persidangan e kakak tanda penduduk fakta terungkap nama bersih korupsi politik ada isu fitnah menjatuhkan ganjar e kakak tanda penduduk terang benderang bersih namanya gusti tidur,negatif,Ekonomi
6/29/2023,4 stl kejadian 2 anggota kepolisian daerah jawa timur menganiaya menyekap konfirmasi korupsi menjerat pejabat direktur jenderal pajak angin prayitno aji menikahkan anaknya anak perwira polisi berdinas kepolisian daerah jawa timur,negatif,Polisi
6/29/2023,zalim orang korupsi orang,negatif,Hujatan
6/29/2023,korupsi kelebihann mbayar,negatif,Hujatan
6/29/2023,firli sibuk urusannya digaji berantas korupsi tugas dikesampingkan firli firli sibuk tuan pemilucurangrakyatrevolusi pemilucurangrakyatrevolusi,negatif,Ekonomi
