full_text,created_at,username
INDIA KEMAREN 7 ORANG INI MALAH LEBIH SAMPE 10 ORANG https://t.co/XTP7jDHiUo,Fri Mar 15 07:04:00 +0000 2024,folkshittmedia
Golongan orang-orang yang langsung mendadak diem waktu denger sesuatu yang bikin sakit hati.,Sun Jun 09 11:17:02 +0000 2024,junayyy__
Minda saya agak berkecamuk ketika ini dengan isu Palestin yang semakin membarah Zayn Rayyan &amp; Faisal Halim. Seolah dunia sedang menguji kita semua. Moga Allah menenggelamkan orang yang zalim dan mengangkat darjat mereka yang teraniaya.,Thu Jun 13 15:47:46 +0000 2024,Muzuzxck
MY TRAVELING THINGS sebagai orang yang suka bolak balik keluar kota 4 barang ini bener2 usefull &amp; kepake banget! BISA BUAT ANAK KOS JUGAK must have apalagi koper deh aslik bener2 kepake https://t.co/tR75hdQNQm,Thu Jun 13 13:29:20 +0000 2024,cloudysnowys
Kita hanyalah sekumpulan orang-orang yang pura-pura ngerti soal hidup padahal sama-sama bingung,Sat Jun 08 22:51:50 +0000 2024,FiersaBesari
Orang cuma nanya harga gitar malah di kasih paham https://t.co/CammR2aovr,Wed Jun 12 14:06:42 +0000 2024,kegblgnunfaedh
Kasta ter egois orang berkendara dijalanan jatuh kepada ; https://t.co/IhZzLp5BK5,Mon May 20 00:01:39 +0000 2024,Ccookk_
ketika ada orang yg nanya arah jalan ke lu. lu yg nolep: https://t.co/K6yXJnSWcN,Sun Jun 09 23:57:09 +0000 2024,spnicy
kita semua butuh orang kayak gini https://t.co/WGozFsP4dJ,Sat Apr 13 05:05:06 +0000 2024,aristamahr
Sampah di pandangan orang. rumah dimata mereka. https://t.co/yaHqaUGdwA,Tue Jun 11 23:21:57 +0000 2024,KucingBertweet
 kdm ️ sender semenjak nonton the atypical family bingung nih orang kok kaya gak pernah keliatan di real life akhir nya sender kepoin eh buset cakep bgt ya asli nya https://t.co/VEJM8aLWPy,Sun May 26 06:24:50 +0000 2024,kdrama_menfess
Dari jutaan orang di Indonesia... Kenapa Kaesang? Dari ribuan wilayah di Indonesia... Kenapa Jakarta? Dari banyaknya tokoh politik yang bisa diajak duet.... Kenapa Anies Baswedan? Kenapa? https://t.co/cxLuvBHWCH,Wed Jun 05 07:36:21 +0000 2024,catchmeupco
Stop ngasih toleransi terus-terusan untuk orang yang ngga tau caranya berubah dan menghargai.,Wed Jun 12 23:08:31 +0000 2024,junayyy__
ngalah mulu kek orang tolol gini masih dikatain gapernah ngertiin,Sat Jun 08 13:35:21 +0000 2024,flnive_
menemukan cinta yang setara itu sulit jadi beruntunglah orang-orang yang selalu diusahakan.,Wed Jun 12 04:56:01 +0000 2024,iniiniaaaa
Inilah ya guys pentingnya bales chat gak pas lagi ngobrol. Gue jadi kayak orang goblok https://t.co/fWFN4lMX79,Fri May 17 05:07:56 +0000 2024,adnardn
aku serius baca Al-Waqiah ayat seribu Dinar sama doa nabi Yunus emang beneran mujarab padahal cuma sekali doang tapi tiba-tiba aku dapet rezeki dari orang yang dulu pernah aku tolongin dan aku dapet kerjaan setelah sekian lama gagal ngelamar kerja sana sini https://t.co/PDo7TOLri7,Thu May 16 02:42:40 +0000 2024,satriarafisky
Dikira gila kerja itu karna mau mengejar dunia padahal sedekah qurban umroh naik haji mebahagiakan orang tua dll itu semuanya butuh yang namanya uang,Mon May 06 11:26:28 +0000 2024,echachaa__
star GEMES BANGET SI ORANG PACARANNN ️ https://t.co/KOO1FKA0zR,Mon May 20 14:14:41 +0000 2024,starfess
Orang gila mana yg ngode di twitter padahal yg di kodein g main twitter.,Wed May 01 10:58:16 +0000 2024,Ayy_only
Pernah ngga lu tiba-tiba oversharing sama orang tapi abis itu nyesel,Sat May 04 16:39:10 +0000 2024,andihiyat
Hari Jumat hari baik. Semoga segala urusan baik dimudahkan dan semoga banyak kabar baik datang. Tetap jadi orang baik ya.,Fri Jun 14 03:34:18 +0000 2024,radenrauf
TREND RATING THINGS I DID AT KOK BISA ORANG ORANG HIDUP NYA SE-DARK ITU a thread https://t.co/D1OIbmfqiP,Tue Jun 11 04:59:35 +0000 2024,orenjei
orang gila mana yg minjem duit di tabungan sendiri,Sat May 04 02:11:11 +0000 2024,salsatrash
 cari pacar gih cari pacar gih ORANG GAADA YANG MAU TAI,Thu Jun 13 05:56:05 +0000 2024,flnive_
PEDOFIL !!! Guys yang punya ade dan udah punya hp sendiri jangan lupa buat rutin di cek hpnya siapa tau ada fedofil kaya gini. Ini kejadian di Ade temen aku. Tetep jaga keluarga kita dari orang gila kaya gini. BANTU SPAM DI GET CONTACT YA GUYS BIAR GA ADA KORBAN LAGI https://t.co/Pma6EiwM3M,Sat Apr 27 14:08:40 +0000 2024,olafaa_
semua demi orang tua https://t.co/a9301mAPAT,Tue Jun 11 12:54:50 +0000 2024,masgah_
Orang-orang pada yakin bener yak Anies bakal berpasangan sama nepo baby? Padahal mah wacana itu digulirkan karena doi pengen ngurangin damage pembicaraan pasca putusan MA sekaligus nurunin elektabilitas Anies yg emang paling tinggi di Jakarta ‍️ https://t.co/vzYIISYlrx,Fri Jun 14 01:44:29 +0000 2024,HerryDharmawan
Sakit ya kak rasanya? Aku tau.. pasti sakit banget. Aku kehilangan satu persatu keluargaku aja sakit ini lagi sembilan orang dalam satu waktu Sabar ya Kak. Doain terus semoga negara kalian segera dikembalikan kayak sedia kala ya.. https://t.co/upkvjyj4MH,Fri Jun 14 03:17:19 +0000 2024,Mooncalfdung
takut banget dimarahin orang korea https://t.co/l2muT1OPjS,Thu May 09 14:38:34 +0000 2024,unmagnetism
Ternyata orang Tiktok tidak hanya berani berdusta atas nama Nabi sekarang udah atas nama Allah https://t.co/yTI4cio3vM,Tue Apr 23 22:36:06 +0000 2024,AghaarXx
 sumpeh nih orang ide nya mahal bgt https://t.co/YgthyIc2oz,Wed May 15 03:05:58 +0000 2024,tanyarlfes
kalian percaya ga? kalau kita terlalu mengumbar rencana kita ke orang lain biasanya rencana itu jadi gagal,Wed Jun 12 03:13:48 +0000 2024,wayangtl
di titik terendah lo lo akan melihat wajah asli semua orang,Sun Jun 09 22:40:13 +0000 2024,fasekrisis
sch! semoga yang reply termasuk 244.668 orang itu https://t.co/BMQczzsyp2,Mon May 20 12:29:53 +0000 2024,schfess
orang gila mana yg dikasih banyak cobaan malah dicobain satu2,Thu Jun 13 11:20:39 +0000 2024,ainunrozi
Operator VAR di laga Qatar vs Indonesia dan Indonesia vs Uzbekistan adalah orang yang sama..... Kirain setelah protes dan kontroversi di laga vs Qatar dia gak bakal ditunjuk lagi. Ternyata malah lanjut ditunjuk oleh AFC untuk laga Indonesia vs Uzbekistan https://t.co/en92dMdbzE,Mon Apr 29 17:54:32 +0000 2024,FaktaSepakbola
 Dibunuh mayatnya dicor di dapur Didi Hartanto (42) sudah menganggap tukang langganannya Ijal (31) sebagai orang kepercayaan. Kunci rumah pun kadang dititipkan padanya. Namun Ijal malah membunuh Didi dengan alasan amat sederhana Terpaksa butuh uang. https://t.co/zXmVYMGbfY,Tue Apr 23 09:18:10 +0000 2024,creepylogy_
Bolak-balik patah hati disakiti dikecewain eh gataunya malah berjodoh sama orang yang pemikirannya luas punya mindset yang dewasa ga banyak drama ga neko-neko selalu mengertikan setiap hal keadaan pembawaannya tenang good attitude dan selalu punya planning untuk ke depan.,Thu Jun 13 11:18:15 +0000 2024,gesangnurh
kalo lo sukses mapan berduit. omongan lo pasti didengar orang. kalo lo jadi orang gagal emang siapa orang yang mau dengerin lo? silahkan aja denial tapi memang begitu cara kerja dunia ini.,Tue Jun 11 05:37:22 +0000 2024,kutipandino
Gila rasis banget jadi ini tuh ada forum buat orang2 korea yang kerja di indo namanya indosarang dan di forum itu tuh katanya mereka suka rasisin orang indo gitu tanyarl https://t.co/k02ND1Jo8s,Fri Jun 07 01:31:40 +0000 2024,tanyakanrl
Antara sebab wujudnya neraka di akhirat adalah kerana terselamatnya sebahagian orang jahat di dunia. Moga Allah tunjukkan kebenaran siapakah pelaku jahat buat Arwah Zayn dan Faisal Halim lalu membalas perbuatan jahat itu dengan azab yang setimpal.,Thu Jun 13 11:16:29 +0000 2024,Muzuzxck
ya tuhan tolong kabulkan doa orang tuaku https://t.co/u9zMyvD0z8,Sun Jun 09 11:43:18 +0000 2024,cemburuya
paling benci sama orang yang suka meremehkan perasaan orang lain kayak gitu doang nangis gitu doang sakit hati gitu doang stress. dia pikir hati sama perasaan orang tuh sama kali ya??? hal yang menurut lo kecil bukan berarti menurut orang lain juga kecil.,Fri Apr 12 11:39:24 +0000 2024,impobssible
Kenapa kamu sering kali membandingkan hidupmu dengan orang lain tentang pekerjaan tentang pernikahan tentang apapun itu tanpa sadar kamu telah menghina Allah seolah-olah Allah tidak pernah berlaku adil dalam hidupmu. (Gus Baha),Fri Jun 14 02:24:16 +0000 2024,arahbatin
Mari kita sepelekan orang menyepelekan kita.,Wed Jun 12 23:08:26 +0000 2024,junayyy__
Spill dong 0bat ch1na untuk kesehatan beserta khasiatnya yg byk orang blm tahu https://t.co/hEXXtk0C2d,Mon May 13 13:03:34 +0000 2024,tanyarlfes
Enggak semua hal tentang gede-gedean angka atau tentang banyak-banyakan pencapaian. Jalan hidup beda-beda cara menikmatinya juga beda-beda. Selama menyenangkan dan enggak ngerugiin siapa pun jalani aja. Pusing sekali kalau mau ngapa-ngapain harus memenuhi penilaian orang lain,Sat Jun 08 03:59:48 +0000 2024,FiersaBesari
respect sama orang yang rela menunda mengejar mimpinya agar bisa membantu ekonomi keluarganya. aku sumpahin kamu sukses dan bahagia. aamiin.,Tue Jun 11 00:15:31 +0000 2024,riyansupyans
aneh banget emng ada orang kek gini? https://t.co/ucDWLsfcV2,Tue May 07 11:32:33 +0000 2024,ibas404
orang gila mana yg habis nangis malah ngaca,Mon Apr 22 07:36:39 +0000 2024,ahcegil
KITA PUASA ARAFAH HARI AHAD. Walaupun Jemaah Haji Wukuf pada hari Sabtu ni. Ini sekadar ingatan. Sebab masih ada orang keliru dan cakap ia tak logik. Siap kongsi lagi waktu mustajab untuk doa yang sama di Arafah sana. Ringkasnya. Duduk Malaysia ikut waktu Malaysia.,Thu Jun 13 04:57:04 +0000 2024,acaiijawa
punya firasat; kayaknya dia lagi deket sama orang lain tanpa kamu cari tau semesta langsung kasih tau secara tiba-tiba dan ternyata itu benar firasat ini hanya dirasakan oleh orang yang cintanya tulus karena dia punya kontak batin yang kuat walaupun cintanya tidak terbalas,Thu Apr 25 10:32:50 +0000 2024,griffinarks
 Belajar self respect jangan mau ngasih kesempatan orang lain buat nyakitin manfaatin nginjek-nginjek harga diri apalagi berantakin hidup kamu . Jangan cuma tutup mata dan tutup telinga tapi tutup hati untuk mereka yang ingin menyakiti gunakan logika. Sayangi dirimuu ,Thu Jun 13 08:15:33 +0000 2024,satriarafisky
 kdm gimana mau move on orang supirnya aja somen sendiri https://t.co/BFMoL7ypJv,Thu May 02 10:37:14 +0000 2024,kdrama_menfess
orang gila mana yang cari peran ayah di pasangannya,Tue Apr 30 02:40:47 +0000 2024,ahcegil
Bisnis yang cuannya gede tapi ga banyak orang tau,Tue Apr 23 08:13:02 +0000 2024,MrOngDedy
Terlalu ga enakan sama orang lain juga gak baik. https://t.co/okOooZBP3H,Sat Jun 08 01:38:26 +0000 2024,Chndrawhyn
Hari ini 3 tahun lalu Watchdoc merilis film bagaimana Jokowi dan DPR menghancurkan KPK. BuzzeRp memfitnah dengan isu Taliban. Disusul Tes Wawasan Kebangsaan. 75 orang disingkirkan. Menyisakan pimpinan yang busuk pegawai tukang pungli dan Dewas yang dilaporkan ke polisi. https://t.co/89JXsq4g5y,Thu Jun 13 00:36:42 +0000 2024,Dandhy_Laksono
setuju banget sama kalimat ini &gt;&gt;&gt; orang yang hebat itu ujian hidupnya hebat juga. kalo ga percaya coba tanya orang disekitarmu yang kamu rasa dia hebat saat ini tanyakan apapun padanya tanyakan apa yg telah dia perjuangkan apa yang telah dia korbankan apa yang telah,Mon Jun 10 00:31:35 +0000 2024,_herun07
tuhan ciptain marah buat ngelawan lo malah milih ngalah mulu kek orang tolol,Tue Jun 11 06:00:29 +0000 2024,flnive_
Tidak semua orang bisa https://t.co/MJNvvS2JBJ,Thu Jun 06 23:51:10 +0000 2024,fitriiyanr
 Bahkan satu-satunya orang yg menerima &amp; menyayangiku kini mengabaikanku. Nyeritain dua lelaki tanpa keluarga serta kewarganegaraan yg ngerasa tak diinginkan dunia sehingga memutuskan buat jadi saudara agar bisa saling membantu &amp; menguatkan satu sama lain Abang Adik adalah https://t.co/C0NYlkX7dF,Fri Jun 14 04:16:54 +0000 2024,TarizSolis
kalau ada yang bilang: apaan gituan doang lu kontenin. percayalah yang kita anggap mudah sepele begitu doang itu akan selalu bermanfaat bagi orang yang butuh. what is 1+1=2 for us could be rocket science for others. https://t.co/gKbE6YYanO,Mon Jun 10 06:20:36 +0000 2024,tehnit4
tanyarl KENAPA ORANG YG JUALANNYA ENAK BANGET TUH MOOD MOODAN JUALANNYA? sender suka bgt molen si abang kulit tipis crispy buttery tp dia suka2 kapan mau jualannya bjir gugel https://t.co/1YCTazG0Ey,Mon May 13 14:07:05 +0000 2024,tanyarlfes
Nabi muhammad bahkan udah wafat pun masih banyak orang jahat yg fitnah dan ngolok² beliau. Benci banget aku sama orang² kayak gini sakitttt hatiiiiiiiii ya Allah,Thu Jun 13 11:40:01 +0000 2024,RJLetsGo
solatlah sampai solat tu rasa ringan. solatlah sampai kau rasa tak akan tinggal solat. solatlah sampai kau tau betapa nikmatnya solat. solatlah walaupun kau bukan orang baik. sebab nanti solat itu sendiri yang akan membuat kau menjadi lebih baik,Thu Apr 25 06:54:31 +0000 2024,geraldyoo_
Hal yg banyak dipercaya orang padahal belum tentu bener: 1. Lu keringetan = olahraga 2. Ngepel nyapu bersih2 = olahraga 3. Olahraga bikin kurus 4. Kardio doang cukup buat nurunin lemak 5. No pain no gain. Klo ga pegel2 olahraganya belom bener 6. Olahraga perut kosong lebih,Thu Jun 13 01:29:29 +0000 2024,afrkml
karya | jadi orang susah nggak enak banget. https://t.co/gMllOgZa6Q,Sat Jun 01 13:27:41 +0000 2024,literarybase
 INFO ORANG HILANG https://t.co/Nj4bf77kJM,Wed Jun 05 15:56:23 +0000 2024,tanyakanrl
[approved by admin] /lt haii ada yang mau di-checkout-in buku? aku mau jajanin buku 150k buat 2 orang yang bantu ngisi kuesionerku nihh. kriteria respondennya ada di bawah yaa https://t.co/CSY7VJ9SAj,Thu Jun 06 15:02:24 +0000 2024,literarybase
Cantik doa ini: Ya Allah lindungilah aku dari rasa putus asa aku tak mahu jadi beban kepada siapapun. Alirkan aku dan orang yang aku sayang dengan rezeki yang halal seperti air zam - zam yang terus mengalir. Aamin yra.,Mon Jun 10 03:17:36 +0000 2024,zafranmustafa
Cara orang jepang memiskinkan orang Indonesia https://t.co/GQ73ZpWYSh,Wed Jun 12 15:39:28 +0000 2024,JukiHoki
sekarang paham kenapa orang yang tepat gapernah cape sama kita se random apapun kita se ngeselin apapun kita pasti dia punya cara sendiri untuk bisa ngehandle perasaannya bisa nerima dan mengerti kita.,Wed Jun 12 02:07:24 +0000 2024,komorobit
Benci banget orang yang gampangin waktu orang lain kalo uda janji komitmen sama waktu yang disepakati jangan malah gampangin,Sun Jun 09 12:48:27 +0000 2024,AymanAlatas
Tau gak sih sekarang fotografer pada motoin orang lagi lari tanpa izin diupload ke aplikasi terus dijual? Paling sering kejadian di GBK CFD dan tempat umum lainnya. Security ini mungkin keras ngelarang fotografer karena udah banyak keluhan dari pelari yg terganggu privacy nya.,Thu Jun 13 05:43:58 +0000 2024,reinharthrm
Aku lagi nonton Daily Dose of Sunshine Ep. 2 tentang series yang bercerita di rumah sakit jiwa menceritakan dokter perawat dan pasien-pasiennya. Ada pernyataan yang relate banget sama pengalaman konseling klien-klienku Kenapa orang baik yang selalu kesini? ,Wed Jun 12 01:54:10 +0000 2024,zahwaisl
Hehehe Orang lain Kamu https://t.co/1vmaOqctbI,Sun Jun 09 02:57:24 +0000 2024,s_ans___
[] Muka jin saat tau kalau dia sudah selesai meluk semua ARMY Dia benar-benar serius saat bilang mau meluk 3000 orang https://t.co/3UxVidXst3,Thu Jun 13 07:14:30 +0000 2024,ARMYTEAMIID
Orang gila mana yang ngerasa udah bales chat taunya belom,Wed Jun 05 13:42:38 +0000 2024,andihiyat
[17s] kalo ngeliat orang jajan chitato + indomilk coba disapa ya https://t.co/wIohH9wFYw,Thu Jun 13 04:28:51 +0000 2024,caratstalk
Jin bilang kalau ternyata selesai lebih cepat. nanti kalau dia wamil lagi dia mau meluk 5000 orang https://t.co/2N6WBZsvqs,Thu Jun 13 07:04:50 +0000 2024,7btsupdates
the rill ODGJ (orang dengan genre j-rocks) https://t.co/vUJAi2EsRN,Sat Jun 08 13:05:18 +0000 2024,aldapstsr
Faham keadaan mendesak sebabtu orang kata saving tu penting. Dah tau susah sewa RM124 sebulan tak boleh nak bayar kau dengar la dulu pegawai tu nak cakap apa https://t.co/AkDzdL0Ne4,Wed Jun 12 13:45:13 +0000 2024,localrkyt
awet banget jomblonya pasti sukanya sama orang yang ngga suka balik ya?,Sat Jun 08 13:35:42 +0000 2024,griffinarks
/Lt orang gila mana yang beli buku bukan ngeliat blurbnya tapi covernya yang cantik itu? ya gweh lah orangnya ️ https://t.co/sqWZKLZ1NL,Sat Jun 01 07:05:08 +0000 2024,literarybase
Serius nanya ke cewe yang umur 25 26 27 28 29 30+ gimana rasanya belum menikah ? Sabar yah menikah bukan tentang siapa yang cepat tapi siapa yang menemukan orang yang tepat .,Thu Jun 13 08:16:05 +0000 2024,satriarafisky
Enggak perlu menggenggam terlalu erat. Pada akhirnya hanya persoalan waktu orang akan meninggalkan atau kamu yang meninggalkan.,Sun Jun 09 00:45:01 +0000 2024,AdjieSanPutro
https://t.co/iMAmW84Udg,Thu Jun 13 13:22:49 +0000 2024,qrivasi
Exercise dulu sebelum kejar orang https://t.co/a6xiJ1mTfJ,Sat Jun 08 05:10:43 +0000 2024,bckupacc99
Ngobrol sama orang yang sama-sama excited buat ngebahas apa aja is another level of happiness.,Sun Jun 09 09:53:49 +0000 2024,selenaulannn
Kalo dipikir2 udah berapa banyak ya orang yg kehilangan pekerjaan/masa depan karena witch hunting yg dilakukan di social media? ,Tue Jun 11 23:30:00 +0000 2024,ezash
 awalnya tau lagu ini dri vt tiktok larilari!! pas dengerin kecanduan sampe skrng enak banget!! gamautau semua orang harus tau paruparo https://t.co/SrtlJtsSQH,Thu Jun 06 00:38:51 +0000 2024,MUSIKMENFESS
Kamu bisa ngomong maaf eaaaaaa https://t.co/98Pg3G1O8S,Wed Jun 12 12:05:16 +0000 2024,qrivasi
 KOK PIKIRAN ORANG LIAR BANGET GINI??? https://t.co/BUzUQmy92g,Fri Jun 07 12:47:07 +0000 2024,tanyarlfes
Orang hanya menanyakan hasil tanpa menanyakan bagaimana proses yang sudah kita lewati. https://t.co/CHi2Rx8vLx,Thu Jun 13 02:12:35 +0000 2024,Chndrawhyn
jangan nyerah dulu pliss! katanya pengen sukses?! katanya pengen bahagiain orang tua?! tetaplah bertahan walau tiap hari sambil nangis!,Tue Jun 11 00:29:34 +0000 2024,griffinarks
 LAMA-LAMA INI NEGARA MILIK LO SEKELUARGA LOLLL!!! NEGARA KESATUAN REPUBLIK JOKOWI SEHAT-SEHAT ORANG TANPA ORDAL. GAS DEMO NGGA NIH HAHAHA.. UDAH MENGGILA ABIEZ P0LIT1K DINASTI INI!! https://t.co/s5jsvK5Mj7,Thu Jun 06 04:01:48 +0000 2024,tanyakanrl
Subuh. Rezeki kadangkala bukan apa yang kita miliki. Tetapi apa yang kita nikmati. Ramai orang yang memiliki tetapi tidak menikmati.,Wed Jun 12 21:42:33 +0000 2024,fedtriyahya
jujur susah bnget nolak nya nyesek emang jadi orang gaenakan https://t.co/dp8z4O9mki,Fri Jun 07 10:03:52 +0000 2024,cemburuya
Sejujurnya aku sulit memahami alur berpikir sebagian orang ya. Bilang ilfeel setelah baca berita Kaesang yg didorong maju pilkada setelah aturan batas umur diubah tapi pemilu kemarin milih 02. They basically played the same game???? Why did you even bother now?? ,Fri Jun 07 12:03:27 +0000 2024,WidasSatyo
Lebih cantik daripada kebanyakan orang https://t.co/0kBAfrJq1v,Mon Apr 08 07:39:01 +0000 2024,ulat_bulu_bulu
Aku masih percaya kalau alam semesta ini akan membawa seseorang pada orang-orang sefrekuensi. Saat kamu terus belajar maka kamu akan dibawa pada lingkaran yang baru. Saat kamu terus berkembang kamu akan dipertemukan dengan orang-orang yang baru. Begitu juga sebaliknya saat tidak,Tue Jun 11 05:50:39 +0000 2024,satriarafisky
KASUS YUYUN (2016) Pelajar SMP di Bengkulu yang dirudapaksa 14 orang remaja secara bergiliran sebuah utas https://t.co/mpJaqrmcfg,Wed Jun 05 08:03:04 +0000 2024,mwv_mystic
star yang dishare sama tontawan ternyata selengkap itu dari penjelasan situasi di Gaza sampe list organisasi bantuan kemanusiaan biar orang bisa donasi buat Palestine 🇵🇸 ALL EYES ON RAFAH https://t.co/jG84N54vUr,Fri May 31 14:23:12 +0000 2024,starfess
ga semua orang paham sedalam apa trauma &amp; luka yg kamu rasain jadi simpan &amp; sembuhin sendiri tanpa bantuan siapapun jangan buang energi untuk ngejelasin bahwa kamu butuh dibimbing. kalo seperti itu lukamu ga akan sembuh yg ada harapan akan jauh lebih hancurkanmu makin dalam.,Fri Jun 07 10:45:46 +0000 2024,griffinarks
Solat memang berat. Allah sendiri beritahu bahawa solat itu memang berat kecuali bagi orang yang khusyuk. Orang yang khusyuk adalah orang yang meyakini bahawa satu hari nanti dia akan berjumpa Allah dan dia akan pulang kepada-Nya. Barulah solat menjadi ringan. https://t.co/pw8MDZtg4y,Mon Jun 10 09:26:30 +0000 2024,yazid_hamka_
Dear hati Jatuh cinta-lah dengan orang yang mencintaimu yang mampu membuatmu tertawa lepas tanpa ragu yang membuatmu selalu merasa nyaman yang membuatmu semakin menjadi diri sendiri. Sekali lagi hati jatuh cinta-lah dengan orang yang bersedia mendengar segala keluh kesahmu ,Tue Jun 11 00:24:01 +0000 2024,ireneclaire202
Akan selalu ada yang baru dalam hidup. Semoga kita mampu memaafkan luka dan mengikhlaskan segala yang redup. Semoga kita segera bertemu hal hal baru yang membuat nyala lagi semangat itu. Satu dua tiga orang barangkali akan pergi akan ada beberapa orang baru akan datang menemani.,Tue Jun 11 07:57:49 +0000 2024,dsuperboy
Bahkan sikap kita yg seolah gak mentingin diri sendiri tapi mentingin orang lain bahkan yg membela kemanusiaan pun kalau ditelusuri lebih dalam bisa jadi sebenarnya tetap aja demi kepentingan diri kita sendiri. Tetap aja dalam rangka ego-si aku mendapatkan yg diinginkan.,Wed Jun 12 12:44:20 +0000 2024,AdjieSanPutro
Adik-adik kalau nak teroka dunia start lah dari sekarang. Simpan duit buat trip explore Malaysia. Banyak sgt tempat cantik cuci mata. Ada duit lebih boleh tengok negara orang pula. Pergi waktu masih muda. Tenaga lain. Trust me bila makin berusia keringat pun dah tak sama ,Thu Jun 13 02:50:37 +0000 2024,AinulNunanaa
WARNING! KONTEN GRAFIS Empat orang dari Jakarta yang sedang melacak dan hendak mengambil mobil rentalan di Sukolilo Kabupaten Pati dihajar massa. Mereka disangka maling lalu dihajar sampai ada satu korban meninggal dunia. Padahal mereka hendak mengambil mobilnya sendiri. https://t.co/YS9i3fJE8x,Sat Jun 08 16:14:50 +0000 2024,creepy_room_
Pesakit NPD (Kecelaruan personaliti Narsisistik) Tak Boleh Tengok Orang Lain Lebih Terima kasih Dr Farah Deena Abd Samad Pakar Psikiatri Jabatan Psikiatri Hospital Canselor Tuanku Muhriz UKM. Terbitan Harian Metro. https://t.co/59xj6Apasa,Mon Jun 10 05:51:29 +0000 2024,rafidah72
ingat pak Anies gimana partai PSI Menjelek -Jelekkan dan mengejek pak Anies....dan Kami pun tidak terima dengan apa yang sudah mereka lakukan terhadap bapak. Anies Tetap Kami TIDAK SETUJU jika Pak Anies di pasangkan dengan orang yg sudah Jelas -Jelas Mengotak -Atik Aturan!! https://t.co/05GOQIwW9n,Thu Jun 13 11:53:41 +0000 2024,Yurissa_Samosir
/lt warning spoiler Bagi dunia kehilangan satu orang hanyalah 1 angka. Bagi org yg ditinggalkan kehilangan 1 org bisa jadi berarti kehilangan 1 dunia. Terutama bila org yg pergi adalah pusat dunianya selama ini https://t.co/Wuk2TrbSzb,Thu Jun 06 11:31:34 +0000 2024,literarybase
Hiduplah seperti kereta api tidak mengganggu jalan orang lain. Tapi ketika jalannya diganggu LANGGAR.,Sun Jun 09 15:07:37 +0000 2024,nanash711
sekarang mulai nerapin prinsip mirroring treatment alias i ll treat u like u treat me soalnya udah cape kalo harus ngasih effort ke orang yang effortless.,Thu Jun 13 03:02:24 +0000 2024,drakkxen
Najwa Shihab said: Menemukan orang yang tepat itu gak bisa buru-buru kadang memerlukan proses panjang yang menyiksa batin. Menguras emosi dengan sadisnya hingga akhirnya bertemu dengan sosok yang sepantasnya bersama. Bukan karena gak ada pilihan tapi memang terpilih untuk,Wed Jun 12 23:30:53 +0000 2024,ireneclaire202
